Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Avg Vap Pres (kPa),qc,Max Air Temp (C),qc,Min Air Temp (C),qc,Avg Air Temp (C),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (C),qc,Avg Wind Speed (m/s),qc,Wind Run (km),qc,Avg Soil Temp (C),qc
155,Bryte (experimental),Sacramento Valley,12/10/1998,344,,N,0.00,H,96,H,0.9,H,11.3, ,2.0, ,6.2,H,100,H,99,H,91, ,4.8, ,0.8,H,67.4,H,7.9,H
155,Bryte (experimental),Sacramento Valley,12/11/1998,345,,N,0.00, ,74, ,0.9, ,11.3, ,2.3, ,6.6, ,100, ,74, ,93, ,5.5, ,0.8, ,64.8, ,7.9, 
155,Bryte (experimental),Sacramento Valley,12/12/1998,346,,N,0.00, ,96, ,0.9, ,15.1, ,2.1, ,7.9, ,100, ,55, ,84, ,5.3, ,0.7, ,62.5, ,8.1, 
155,Bryte (experimental),Sacramento Valley,12/13/1998,347,,N,1.50, ,46, ,1.0, ,13.5, ,4.5, ,8.5, ,100, ,67, ,89, ,6.7, ,1.4, ,124.2, ,8.5, 
155,Bryte (experimental),Sacramento Valley,12/14/1998,348,,N,1.10, ,106, ,1.0, ,13.9, ,4.1, ,9.2, ,100, ,64, ,84, ,6.5, ,1.8, ,151.3, ,8.8, 
155,Bryte (experimental),Sacramento Valley,12/15/1998,349,,N,0.00, ,102, ,0.9, ,16.7, ,3.1, ,9.4, ,100, ,52, ,79, ,6.0, ,0.8, ,69.9, ,8.6, 
155,Bryte (experimental),Sacramento Valley,12/16/1998,350,,N,0.00, ,108, ,1.0, ,18.1, ,2.9, ,9.7, ,100, ,53, ,83, ,7.0, ,0.7, ,62.2, ,8.4, 
155,Bryte (experimental),Sacramento Valley,12/17/1998,351,,N,0.00, ,103, ,1.0, ,17.0, ,3.1, ,9.5, ,100, ,60, ,87, ,7.5, ,0.6, ,55.7, ,8.5, 
155,Bryte (experimental),Sacramento Valley,12/18/1998,352,,N,0.10, ,87, ,1.0, ,15.3, ,1.9, ,7.9, ,100, ,65, ,93, ,6.9, ,1.2, ,102.8, ,8.4, 
155,Bryte (experimental),Sacramento Valley,12/19/1998,353,,N,0.00, ,85, ,0.7, ,8.1, ,2.2, ,5.7, ,97, ,45, ,73, ,1.3, ,2.1, ,179.5, ,8.3, 
155,Bryte (experimental),Sacramento Valley,12/20/1998,354,,N,0.00, ,88, ,0.5, ,7.6, ,-0.4, ,3.6, ,82, ,35, ,60, ,-3.5, ,3.0, ,256.5, ,7.3, 
155,Bryte (experimental),Sacramento Valley,12/21/1998,355,,N,0.00, ,114, ,0.3, ,5.1, ,-3.0, ,0.1, ,85, ,29, ,49, ,-9.3, ,1.7, ,148.5, ,5.6, 
155,Bryte (experimental),Sacramento Valley,12/22/1998,356,,N,0.00, ,113, ,0.4, ,8.3, ,-4.1, ,0.8, ,92, ,28, ,58, ,-6.5, ,1.6, ,139.7, ,4.8, 
155,Bryte (experimental),Sacramento Valley,12/23/1998,357,,N,0.00, ,104, ,0.5, ,6.5, ,-4.2, ,0.2, ,98, ,48, ,77, ,-3.3, ,0.8, ,72.7, ,4.5, 
155,Bryte (experimental),Sacramento Valley,12/24/1998,358,,N,0.00, ,73, ,0.5, ,6.0, ,-4.1, ,0.3, ,100, ,59, ,85, ,-2.0, ,1.0, ,87.6, ,4.1, 
155,Bryte (experimental),Sacramento Valley,12/25/1998,359,,N,0.00, ,93, ,0.6, ,11.2, ,-2.3, ,2.8, ,100, ,41, ,75, ,-1.2, ,0.7, ,62.6, ,4.3, 
155,Bryte (experimental),Sacramento Valley,12/26/1998,360,,N,0.00, ,92, ,0.6, ,11.8, ,0.3, ,4.7, ,95, ,39, ,70, ,-0.3, ,1.0, ,82.9, ,4.6, 
155,Bryte (experimental),Sacramento Valley,12/27/1998,361,,N,0.00, ,95, ,0.7, ,12.7, ,-1.1, ,5.4, ,100, ,47, ,76, ,1.4, ,0.8, ,72.4, ,4.9, 
155,Bryte (experimental),Sacramento Valley,12/28/1998,362,,N,0.00, ,88, ,0.8, ,12.9, ,2.4, ,6.5, ,100, ,61, ,84, ,4.1, ,1.1, ,92.7, ,5.5, 
155,Bryte (experimental),Sacramento Valley,12/29/1998,363,,N,0.00, ,94, ,0.8, ,12.7, ,-0.6, ,4.6, ,100, ,63, ,92, ,3.4, ,0.9, ,77.0, ,5.5, 
155,Bryte (experimental),Sacramento Valley,12/30/1998,364,,N,0.00, ,77, ,0.9, ,12.3, ,1.8, ,6.7, ,100, ,66, ,88, ,4.8, ,0.9, ,76.4, ,5.6, 
155,Bryte (experimental),Sacramento Valley,12/31/1998,365,,N,0.00, ,48, ,1.0, ,10.8, ,6.2, ,8.5, ,100, ,76, ,94, ,7.5, ,1.7, ,149.1, ,6.7, 
155,Bryte (experimental),Sacramento Valley,1/1/1999,001,,N,0.00, ,97, ,0.9, ,14.1, ,0.5, ,6.7, ,100, ,64, ,87, ,4.7, ,1.1, ,95.7, ,6.7, 
155,Bryte (experimental),Sacramento Valley,1/2/1999,002,,N,0.20, ,83, ,0.8, ,11.7, ,-0.8, ,4.1, ,100, ,77, ,100, ,4.2, ,0.9, ,79.1, ,6.3, 
155,Bryte (experimental),Sacramento Valley,1/3/1999,003,,N,0.20, ,36, ,0.9, ,6.6, ,1.6, ,4.3, ,100, ,99, ,100, ,4.8, ,1.0, ,87.4, ,6.5, 
