,NO3 μM ISUS HR min,NO3 μM ISUS HR max,NO3 μM ISUS HR mean,NO3 μM ISUS HR median,NO3 μM ISUS HR std,NO3 μM SUNA HR min,NO3 μM SUNA HR max,NO3 μM SUNA HR mean,NO3 μM SUNA HR median,NO3 μM SUNA HR std,Cond μScm TSG HR min,Cond μScm TSG HR max,Cond μScm TSG HR mean,Cond μScm TSG HR median,Cond μScm TSG HR std,DO mgL EXO HR min,DO mgL EXO HR max,DO mgL EXO HR mean,DO mgL EXO HR median,DO mgL EXO HR std,DO sat EXO HR min,DO sat EXO HR max,DO sat EXO HR mean,DO sat EXO HR median,DO sat EXO HR std,fCHLA μgL EXO HR min,fCHLA μgL EXO HR max,fCHLA μgL EXO HR mean,fCHLA μgL EXO HR median,fCHLA μgL EXO HR std,fCHLA μgL WS HR min,fCHLA μgL WS HR max,fCHLA μgL WS HR mean,fCHLA μgL WS HR median,fCHLA μgL WS HR std,fDOM QSU EXO HR min,fDOM QSU EXO HR max,fDOM QSU EXO HR mean,fDOM QSU EXO HR median,fDOM QSU EXO HR std,fDOM QSU WS HR min,fDOM QSU WS HR max,fDOM QSU WS HR mean,fDOM QSU WS HR median,fDOM QSU WS HR std,pH EXO HR min,pH EXO HR max,pH EXO HR mean,pH EXO HR median,pH EXO HR std,pH mV EXO HR min,pH mV EXO HR max,pH mV EXO HR mean,pH mV EXO HR median,pH mV EXO HR std,Salinity PSU TSG HR min,Salinity PSU TSG HR max,Salinity PSU TSG HR mean,Salinity PSU TSG HR median,Salinity PSU TSG HR std,Sp Cond μScm EXO HR min,Sp Cond μScm EXO HR max,Sp Cond μScm EXO HR mean,Sp Cond μScm EXO HR median,Sp Cond μScm EXO HR std,Temp C EXO HR min,Temp C EXO HR max,Temp C EXO HR mean,Temp C EXO HR median,Temp C EXO HR std,Temp C TSG HR min,Temp C TSG HR max,Temp C TSG HR mean,Temp C TSG HR median,Temp C TSG HR std,Turb FNU EXO HR min,Turb FNU EXO HR max,Turb FNU EXO HR mean,Turb FNU EXO HR median,Turb FNU EXO HR std,C 1m CStar HR min,C 1m CStar HR max,C 1m CStar HR mean,C 1m CStar HR median,C 1m CStar HR std,Tr  CStar HR min,Tr  CStar HR max,Tr  CStar HR mean,Tr  CStar HR median,Tr  CStar HR std,est DOC mgL HR min,est DOC mgL HR max,est DOC mgL HR mean,est DOC mgL HR median,est DOC mgL HR std,est DON µM HR min,est DON µM HR max,est DON µM HR mean,est DON µM HR median,est DON µM HR std,CL_ID,Location,Latitude,Longitude,USGS_Stati,Station_ID,USGS_Sta_1,DigitalLat,DigitalLon,Subregions
0,,,,,,17.273725,17.7688375,17.530809558823535,17.51516875,0.13533843790932348,112.0,112.3,112.16470588235298,112.15,0.10223576189210427,10.89,11.12,11.015882352941178,11.032499999999999,0.08202175346908083,99.395,101.435,100.51558823529415,100.67500000000001,0.7382282791239614,1.441758242,1.5032967030000002,1.4723789258507451,1.476793249,0.016000575693238032,2.798892923,3.069798312,2.9315053957647055,2.9214140305000003,0.0881512138213782,16.28141067,16.38709287,16.34241378533333,16.33900132,0.0323786597667237,25.07925201,25.21209045,25.14549148882352,25.15970697,0.03664675237188633,7.52,7.52,7.5199999999999925,7.52,0.0,-57.755,-57.74,-57.745625,-57.75,0.005013280235872201,0.0728,0.073,0.07287941176470587,0.0729,7.54267926771056e-05,152.34,152.52,152.41816176470599,152.41,0.06238364938248217,11.25,11.25,11.25,11.25,0.0,11.2361,11.2401,11.238209183673474,11.23805,0.0012316432734604526,39.53,42.625,41.21147058823527,41.255,0.8527488732992173,23.79484707,23.94326399,23.844423157692297,23.82323503,0.0495258540287694,0.091234225,0.092598304,0.09214148707692306,0.092335786,0.00045514160264984653,2.326917365,2.334489156,2.3306930148823533,2.331503297,0.0020888648267306876,9.109592968,9.157016291,9.133240461529413,9.138315387999999,0.01308289053829633,A2079,Toe Drain Canal,38.467746,-121.590649, , ,0,0.0,0.0,Cache Slough Complex
1,16.4693,17.7619,17.09623818181818,16.9661,0.3469951432528666,17.2553875,18.0255625,17.61662622950818,17.5976875,0.23242970166246454,111.9,113.6,112.54508196721304,112.1,0.6151130325498069,10.86,10.945,10.90356249999999,10.895,0.023073818660875513,99.26,100.21,99.75546666666663,99.73,0.24068900722343425,1.371669744,1.852259425,1.6804254676198345,1.799621405,0.15672945462421561,2.7986199419999997,3.68535132,3.336498680818181,3.6266599889999998,0.36442409302661966,15.16270781,16.38163578,15.730950995206616,15.38268426,0.5093885578983685,25.00127175,25.25197915,25.131939064545453,25.14117558,0.0667098536905873,7.52,7.63,7.582024793388427,7.625,0.05412400311782739,-63.75,-57.78,-61.12892561983469,-63.495,2.901227125905199,0.07265,0.0736,0.07301721311475406,0.0728,0.0003406223334449214,151.96,153.99,153.15429752066112,153.655,0.8241569697234911,11.25,11.38,11.321652892561959,11.36,0.050799394803449145,11.23895,11.3373,11.290339754098365,11.3105,0.04046720023649427,38.4,42.06,40.26181818181818,40.53,0.9972650099146164,23.86940495,23.99646635,23.928695408108105,23.935051955,0.03444613885448991,0.090750031,0.09191052,0.0913676700945946,0.09130907900000002,0.0003145812392870456,2.32247249,2.336762812,2.3299205266446275,2.330447008,0.003802461642476643,9.081754015,9.171256557000001,9.128402246008266,9.131699682,0.023815417749654656,A2080,Toe Drain Canal,38.466392,-121.591283, , ,0,0.0,0.0,Cache Slough Complex
2,17.0765,19.2615,18.298785714285717,18.5255,0.6148363215407137,17.4082,17.9155375,17.597978571428577,17.542675,0.17837062810615095,112.95,113.5,113.28947368421052,113.4,0.203154940438484,10.955,10.98,10.968095238095243,10.97,0.011008654604013813,100.185,100.425,100.30999999999999,100.315,0.10817809390074033,1.852177739,1.900571931,1.883618209,1.891772987,0.015987217891863997,3.636099648,3.678706045,3.659011582571429,3.65546427,0.014008033165030348,15.29614952,15.36291784,15.328514720952382,15.32251053,0.020493297761420275,25.07969264,25.13609317,25.102113498571427,25.0932785,0.01870724863300351,7.62,7.62,7.620000000000002,7.62,0.0,-63.44,-63.265,-63.350476190476215,-63.345,0.054747254769178466,0.07325,0.0736,0.07346842105263156,0.0735,0.00013145608298737788,153.925,153.98,153.94428571428568,153.94,0.02026608708442785,11.35,11.36,11.351428571428567,11.35,0.0035856858280032895,11.31135,11.3127,11.311840476190477,11.3117,0.00046680270126235265,38.965,40.09,39.70404761904762,39.945,0.3815875359849273,24.00092197,24.22593436,24.077035130952382,24.03290787,0.08067228446511938,0.088691446,0.090709594,0.0900246717142857,0.09041991699999999,0.0007232137384063786,2.32694248,2.330157311,2.3282204693333335,2.327716875,0.0010663132725344312,9.109750272000001,9.129885262,9.117754518761902,9.114600423999999,0.00667848793327616,A2081,Toe Drain Canal,38.465031,-121.591909, , ,0,0.0,0.0,Cache Slough Complex
3,16.6073,18.3093,17.519651162790698,17.6239,0.5508644406202038,17.4082,17.67715,17.54261198453608,17.5243375,0.06849054911987511,113.55,113.7,113.64238095238122,113.6,0.048921518969823705,10.905,11.0,10.95228571428572,10.95,0.03229989113035871,99.675,100.58,100.12152380952377,100.08,0.316857408333979,1.785949944,1.825299085,1.8042505648749996,1.80330753,0.011336940738114368,3.61747694,3.701747145,3.649653706352381,3.6366405910000004,0.02746767539605733,15.2629663,15.455186,15.357732276082478,15.36178843,0.052751014327316305,25.05564896,25.192896100000002,25.12744360988637,25.13757989,0.037554423716969446,7.61,7.62,7.613333333333343,7.61,0.004738791022072384,-63.255,-62.26,-62.75895238095238,-62.72,0.2803497945888374,0.0736,0.0737,0.07369285714285702,0.0737,2.5408746439057253e-05,153.98,154.48,154.2329047619047,154.25,0.16916335549549036,11.32,11.35,11.332666666666679,11.33,0.013481944240828296,11.2868,11.3162,11.29718857142858,11.29145,0.010120139519843252,39.01,40.405,39.80186746987952,39.955,0.4321632418281569,23.78035085,23.983965899999998,23.877949881645574,23.86890354,0.05354581905773539,0.090821446,0.09273261199999999,0.09182065119999996,0.09191510900000001,0.000501163881129294,2.325571991,2.333395078,2.3296642857840912,2.330242054,0.0021406021502178097,9.101166679,9.150163908,9.126797368750003,9.130416021,0.013406929265308704,A2082,Toe Drain Canal,38.46367,-121.592539, , ,0,0.0,0.0,Cache Slough Complex
4,15.8897,18.4105,17.005687878787874,16.6349,0.7736115384018585,17.518225,17.72605,17.605519140625,17.59463125,0.0631468285465516,113.6,113.7,113.63030303030295,113.6,0.044964211357823546,10.96,10.97,10.963787878787876,10.96,0.004846116845974965,100.13,100.22,100.1695454545455,100.155,0.040569455034773945,1.76796552,1.80330753,1.7912193697575751,1.794353065,0.011706760576275918,3.658353879,3.6737404239999996,3.666045021857142,3.6674490234999997,0.005104678775564591,15.27179239,15.27313447,15.272197950769232,15.27189623,0.0005369186120428337,25.09031028,25.15391616,25.11882464142857,25.1136924,0.01760260722553437,7.6,7.6,7.599999999999996,7.6,0.0,-62.23,-61.93,-62.10017857142859,-62.099999999999994,0.08634000556432271,0.0737,0.0737,0.07370000000000006,0.0737,0.0,154.46,154.48,154.4743333333333,154.48,0.008276819867936006,11.31,11.32,11.313939393939394,11.31,0.004801948783693674,11.28405,11.28445,11.284196428571429,11.2842,0.00010824524454639722,38.11,39.45,38.741,38.945,0.4191070145621141,23.80579047,23.86177195,23.83876898821429,23.850072935,0.017739457242130306,0.091980656,0.09249700300000001,0.09219260807142861,0.0920883195,0.00016362477686710422,2.327547686,2.331173221,2.329173004464286,2.328880467,0.001003348686888154,9.11354077,9.136248069,9.123720396892859,9.121888187,0.006284130854547976,A2083,Toe Drain Canal,38.462309,-121.593172, , ,0,0.0,0.0,Cache Slough Complex
5,15.0755,18.8797,17.12923953488372,17.2191,1.2579510623647254,17.4265375,17.6221375,17.514955523255807,17.5121125,0.06022107166505387,113.5,113.7,113.603488372093,113.6,0.0710427008056636,10.915,10.97,10.94302325581396,10.945,0.02247060341243214,99.71,100.205,99.97651162790697,99.985,0.2041227889208127,1.7591696719999999,1.864883885,1.8255986666744182,1.829536459,0.034353782681001664,3.6888951139999997,3.723541267,3.706160222930234,3.7048124639999997,0.010653197347422844,15.23843313,15.38048132,15.301249669534876,15.30815002,0.049675563233092454,25.17584748,25.31705451,25.23243200604651,25.2013134,0.04727571053707928,7.59,7.6,7.5903488372093,7.59,0.0016886698192904177,-61.815,-61.47,-61.64000000000002,-61.65,0.09167748853868944,0.0737,0.0737,0.07370000000000007,0.0737,0.0,154.39,154.48,154.4286046511627,154.425,0.03686083192540881,11.305,11.32,11.315,11.317499999999999,0.005179697702828891,11.2722,11.2895,11.28018139534884,11.2775,0.0064422990503599465,40.24,40.96,40.597666666666655,40.6675,0.1861160804506154,23.81273406,23.87940326,23.844324725581398,23.8310701,0.028030415532346975,0.091818606,0.09243279900000001,0.09214161390697674,0.092263476,0.00025822303663110995,2.332423306,2.340472107,2.3356486243023253,2.333874864,0.0026947155355137808,9.14407755,9.19448846,9.16427822611628,9.153168884,0.016877428696636262,A2084,Toe Drain Canal,38.460948,-121.593803, , ,0,0.0,0.0,Cache Slough Complex
6,14.4545,15.5631,14.904314285714289,14.7949,0.34060336410583436,17.4876625,17.6343625,17.56468,17.567125,0.04119511638804117,113.4,113.5,113.47285714285717,113.5,0.04429655600550915,10.91,10.97,10.945000000000006,10.95,0.023763541031440204,99.63,100.18,99.971,100.06,0.21574017597428297,1.7414248019999998,1.7941952509999999,1.770946638457143,1.785321669,0.021974031429616327,3.705491187,3.726442042,3.7155386902285725,3.717236319,0.007093690251806954,15.36593237,15.41735609,15.398558835588236,15.40601694,0.016808451711105094,25.195420600000002,25.24845232,25.222150334571417,25.2254595,0.014735612803045271,7.58,7.59,7.588000000000003,7.59,0.004058397249567175,-61.455,-61.17,-61.316857142857145,-61.32,0.07664937084164554,0.0736,0.0737,0.07366142857142856,0.0737,4.8636881257823686e-05,154.41,154.425,154.4159677419355,154.42,0.005069410688748881,11.295,11.3,11.29985714285715,11.3,0.0008451542547287017,11.2632,11.2717,11.267720967741935,11.26735,0.0023185402804916325,40.72,42.015,41.206285714285706,41.165,0.40573887367794803,23.79506822,23.82867265,23.808065419354854,23.81061793,0.01053345978305225,0.09228559800000001,0.09259623300000001,0.09247601277419355,0.092452362,9.739978323374644e-05,2.333538974,2.336561782,2.3350625691428575,2.335251192,0.000839929962567896,9.151065154,9.169997477999999,9.160607669428572,9.161789041,0.005260613783666957,A2085,Toe Drain Canal,38.459585,-121.594432, , ,0,0.0,0.0,Cache Slough Complex
7,15.6505,18.3415,16.99484108527132,16.8925,0.6861309097045113,17.4143125,17.7994,17.606810634328344,17.5976875,0.10219306321808524,113.0,113.4,113.14601449275385,113.1,0.09534064822773226,10.825,11.005,10.917028985507262,10.9,0.05358885683671076,98.835,100.475,99.67028985507243,99.54,0.48729656736720994,1.77212983,1.9695770680000002,1.893379442057969,1.916989096,0.061144949954405316,3.6518776539999998,3.839099156,3.7465456422561996,3.730849143,0.04736682966949913,15.09832046,15.34162984,15.210643525333323,15.207205375000001,0.06579222656807626,25.04014172,25.1695995,25.103548879369367,25.10101373,0.03498722162386484,7.58,7.58,7.580000000000016,7.58,0.0,-60.89,-60.76,-60.80252380952389,-60.79,0.04449029609797231,0.0734,0.0736,0.07349347826086947,0.0735,5.693705288398487e-05,153.87,153.905,153.88727272727286,153.89,0.009371881765808636,11.27,11.29,11.277427536231867,11.28,0.007355307613547555,11.2416,11.2487,11.245844607843136,11.245875000000002,0.0021860370000272777,38.12,41.42,39.71000000000003,39.4725,0.885843066762559,23.71825053,23.84757005,23.782345485671637,23.77870867,0.03493650210125999,0.092111384,0.093310281,0.09271469654477617,0.0927478515,0.0003239973574952087,2.3246880780000003,2.332067172,2.3283022861531535,2.328157783,0.001994271712283052,9.095630594,9.141847022,9.118266949963958,9.117361902,0.012490438199442472,A2086,Toe Drain Canal,38.458223,-121.595063, , ,0,0.0,0.0,Cache Slough Complex
8,14.7811,17.7711,16.40245918367348,16.4969,0.8723911150438969,17.4571,17.9399875,17.680749238578684,17.67715,0.1318030807350657,112.75,113.1,112.9325396825399,112.9,0.0936091055417421,10.89,10.98,10.94027624309395,10.945,0.02635612809252427,99.395,100.245,99.85813888888902,99.905,0.2412189891236564,1.863900123,2.044135748,1.9586905041999996,1.9606119219999998,0.049442074728427876,3.739551275,3.847514335,3.7863336474823566,3.7771184525,0.030872662574889194,15.11736558,15.2856915,15.210607403519564,15.21986509,0.04753672397301507,25.03212044,25.19487199,25.11898917392045,25.133024804999998,0.04464768824443131,7.58,7.58,7.5799999999999885,7.58,0.0,-60.875,-60.74,-60.79759740259734,-60.78,0.04148084359516354,0.0733,0.0734,0.07335573770491788,0.0734,4.952940129363113e-05,153.55,153.825,153.6840677966098,153.7,0.07157605564110787,11.26,11.27,11.264050279329599,11.26,0.00487976070399767,11.2276,11.2527,11.237674749999995,11.2353,0.007574938839994425,39.03,41.135,40.06170138888887,40.1375,0.5345013240887285,23.74570323,23.85901436,23.800372986933336,23.80786913,0.02943073791779285,0.09200615,0.093054464,0.09254753167999998,0.0924777785,0.00027243407914572556,2.324230865,2.333507703,2.3291823829488645,2.329982414,0.002544918226240201,9.092766997,9.150869300000002,9.123779135107958,9.128789855499999,0.01593922468497898,A2087,Toe Drain Canal,38.456859,-121.595693, , ,0,0.0,0.0,Cache Slough Complex
9,15.6045,19.6019,17.73117857142857,17.4905,1.4106200289909678,17.5365625,17.5732375,17.55517784090909,17.5549,0.011701091175600335,112.1,112.9,112.51964285714287,112.5,0.2806537624752943,10.91,10.945,10.920185185185185,10.91,0.013044412411324426,99.575,99.925,99.70464285714289,99.63,0.11817225791056929,1.83328937,1.960956736,1.8886071979285721,1.881649521,0.05206074599117039,3.76920124,3.78715455,3.775614670178571,3.770898007,0.007101565761891617,15.221418599999998,15.29550603,15.2526205208,15.25121907,0.022991144044947346,24.99123501,25.06562124,25.025791026800007,25.02178595,0.023495687247328974,7.58,7.59,7.5842857142857145,7.58,0.005039526306789054,-61.325,-61.15,-61.23321428571428,-61.224999999999994,0.05686589627123519,0.0728,0.0733,0.07307142857142856,0.0731,0.00018228415517404492,153.68,153.705,153.69214285714278,153.6925,0.008652613759305976,11.27,11.28,11.272321428571429,11.27,0.004190408549238056,11.2329,11.2349,11.233565,11.2331,0.0006751413107446735,37.725,38.28,37.96124999999999,37.96,0.16185499520770158,23.77434049,24.11594336,23.921801349285715,23.926966655,0.12286837185065609,0.089672216,0.092788366,0.09143695428571429,0.0913831635,0.0011229699799914102,2.3219003959999998,2.326140411,2.3238700886799992,2.3236417990000002,0.0013392541982072414,9.078170899,9.104726783,9.090507396719998,9.089077584,0.00838796037240583,A2088,Toe Drain Canal,38.455497,-121.596324, , ,0,0.0,0.0,Cache Slough Complex
