Data Owner,Data Status,Long Station Name,Short Station Name,Station Number,Sample Code,Collection Date,Analyte,CAS Reg Number,Result,Rpt Limit,Units,Method,Depth,Matrix,Sample Type,Parent Sample,Description,Notes,Result Rejected
0330,1000 - Data Not Validated by Owner,Sacramento River @ Sherwood Harbor,SHER,A0200000,ESA0209B3274,02/11/2009 10:06,Chlorophyll a,479618,3.37,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
0330,1000 - Data Not Validated by Owner,Toe Drain at Rotary Screw Trap,Toe Drain at STTD,A0D82120386,ESA0209B3275,02/11/2009 11:45,Chlorophyll a,479618,10,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
0330,1000 - Data Not Validated by Owner,Sacramento River @ Sherwood Harbor,SHER,A0200000,ESA0209B3270,02/27/2009 09:56,Chlorophyll a,479618,2.61,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
0330,1000 - Data Not Validated by Owner,Toe Drain at Rotary Screw Trap,Toe Drain at STTD,A0D82120386,ESA0209B3271,02/27/2009 12:30,Chlorophyll a,479618,5.45,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
0330,1000 - Data Not Validated by Owner,Toe Drain at Rotary Screw Trap,Toe Drain at STTD,A0D82120386,ESA0309B3291,03/12/2009 00:00,Chlorophyll a,479618,14.85,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
0330,1000 - Data Not Validated by Owner,Sacramento River @ Sherwood Harbor,SHER,A0200000,ESA0309B3290,03/12/2009 00:00,Chlorophyll a,479618,4.37,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
0330,1000 - Data Not Validated by Owner,Sacramento River @ Sherwood Harbor,SHER,A0200000,ESA0309B3302,03/25/2009 00:00,Chlorophyll a,479618,3.18,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
0330,1000 - Data Not Validated by Owner,Toe Drain at Rotary Screw Trap,Toe Drain at STTD,A0D82120386,ESA0309B3303,03/25/2009 00:00,Chlorophyll a,479618,11.85,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
0330,1000 - Data Not Validated by Owner,Sacramento River @ Sherwood Harbor,SHER,A0200000,ESA0409B3306,04/08/2009 09:12,Chlorophyll a,479618,3.7,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,H2O Temp.14.3,,N
0330,1000 - Data Not Validated by Owner,Toe Drain at Rotary Screw Trap,Toe Drain at STTD,A0D82120386,ESA0409B3307,04/08/2009 11:16,Chlorophyll a,479618,19.33,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,H2O Temp. 16.0,,N
0330,1000 - Data Not Validated by Owner,Sacramento River @ Sherwood Harbor,SHER,A0200000,ESA0409B3525,04/23/2009 09:10,Chlorophyll a,479618,4.58,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
0330,1000 - Data Not Validated by Owner,Toe Drain at Rotary Screw Trap,Toe Drain at STTD,A0D82120386,ESA0409B3526,04/23/2009 11:20,Chlorophyll a,479618,53.83,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
0330,1000 - Data Not Validated by Owner,Sacramento River @ Sherwood Harbor,SHER,A0200000,ESA0509B3529,05/07/2009 09:10,Chlorophyll a,479618,3.48,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Collection time: 09:22,Re-Analysis of AliquotID  508944 from QC Batch 28909.  ,N
0330,1000 - Data Not Validated by Owner,Toe Drain at Rotary Screw Trap,Toe Drain at STTD,A0D82120386,ESA0509B3530,05/07/2009 11:20,Chlorophyll a,479618,31.29,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Collection time: 11:41,,N
