DataOwner,DataStatus,LongStationName,ShortStationName,StationNumber,SampleCode,CollectionDate,Analyte,CASReg_Number,Result,RptLimit,Units,Method,Depth,Matrix,SampleType,ParentSample,Description,Notes,ResultRejected
330,1000 - Data Not Validated by Owner,Sacramento River @ Sherwood Harbor,SHER,A0200000,ESA0209B3274,2/11/2009 10:06,Chlorophyll a,479618,3.37,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
330,1000 - Data Not Validated by Owner,Sacramento River @ Sherwood Harbor,SHER,A0200000,ESA0209B3274,2/11/2009 10:06,Pheophytin a,0,2.11,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
330,1000 - Data Not Validated by Owner,Toe Drain at Rotary Screw Trap,Toe Drain at STTD,A0D82120386,ESA0209B3275,2/11/2009 11:45,Chlorophyll a,479618,10,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
330,1000 - Data Not Validated by Owner,Toe Drain at Rotary Screw Trap,Toe Drain at STTD,A0D82120386,ESA0209B3275,2/11/2009 11:45,Pheophytin a,0,3.73,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
330,1000 - Data Not Validated by Owner,Sacramento River @ Sherwood Harbor,SHER,A0200000,ESA0209B3270,2/27/2009 9:56,Chlorophyll a,479618,2.61,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
330,1000 - Data Not Validated by Owner,Sacramento River @ Sherwood Harbor,SHER,A0200000,ESA0209B3270,2/27/2009 9:56,Pheophytin a,0,2.4,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
330,1000 - Data Not Validated by Owner,Toe Drain at Rotary Screw Trap,Toe Drain at STTD,A0D82120386,ESA0209B3271,2/27/2009 12:30,Chlorophyll a,479618,5.45,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
330,1000 - Data Not Validated by Owner,Toe Drain at Rotary Screw Trap,Toe Drain at STTD,A0D82120386,ESA0209B3271,2/27/2009 12:30,Pheophytin a,0,5.69,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
330,1000 - Data Not Validated by Owner,Sacramento River @ Sherwood Harbor,SHER,A0200000,ESA0309B3290,3/12/2009 0:00,Chlorophyll a,479618,4.37,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
330,1000 - Data Not Validated by Owner,Toe Drain at Rotary Screw Trap,Toe Drain at STTD,A0D82120386,ESA0309B3291,3/12/2009 0:00,Chlorophyll a,479618,14.85,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
