site_no,chla_value,chla_units,date
11455315,1.05,NA,2019-09-05
11455315,1.93,NA,2019-07-30
11455350,1.9,ug/l,2015-12-08
11455315,3,ug/l,2015-12-17
11455315,1.2,ug/l,2016-11-14
11455350,1.3,ug/l,2016-09-20
11455350,1,ug/l,2016-11-09
11455315,4.4,ug/l,2016-03-22
11455350,5,ug/l,2016-03-08
11455350,3.3,ug/l,2016-07-12
11455315,1.3,ug/l,2016-09-29
11455350,1.4,ug/l,2016-02-09
11455350,1.1,ug/l,2016-10-12
11455350,8.2,ug/l,2016-05-25
11455315,1.6,ug/l,2016-12-15
11455350,8.5,ug/l,2016-04-05
11455315,5.5,ug/l,2016-07-26
11455315,27.4,ug/l,2016-06-16
11455315,38.3,ug/l,2016-05-06
11455315,1.7,ug/l,2016-02-18
11455315,9.4,ug/l,2016-06-28
11455315,2.5,ug/l,2016-01-21
11455350,1.8,ug/l,2016-11-14
11455315,3.7,ug/l,2016-05-24
11455350,2.3,ug/l,2016-06-08
11455315,8.8,ug/l,2016-05-25
11455350,7.4,ug/l,2016-06-09
11455315,8.6,ug/l,2016-06-09
11455350,6.8,ug/l,2016-06-28
11455315,1,ug/l,2016-11-17
11455315,2,ug/l,2016-10-27
11455350,20.3,ug/l,2016-05-10
11455350,2.8,ug/l,2016-08-30
11455315,6.8,ug/l,2016-03-31
11455315,8.9,ug/l,2016-04-26
11455350,1.3,ug/l,2016-01-05
11455315,2.5,ug/l,2016-08-30
11455350,3,ug/l,2016-08-09
11455350,1,ug/l,2016-12-08
11455350,24.1,ug/l,2016-05-06
11455315,8.4,ug/l,2016-08-23
11455315,2.6,ug/l,2017-06-07
11455315,2.4,ug/l,2017-07-11
11455350,14.1,ug/l,2017-03-08
11455315,4.7,ug/l,2017-12-05
11455315,5.6,ug/l,2017-04-11
11455315,0.7,ug/l,2017-03-01
11455315,4.9,ug/l,2017-05-02
11455315,11.1,ug/l,2017-08-10
11455315,2.3,ug/l,2017-06-27
11455350,1.6,ug/l,2017-10-24
11455350,1.3,ug/l,2017-12-14
11455350,2.2,ug/l,2017-08-22
11455350,1.6,ug/l,2017-06-27
11455350,0.9,ug/l,2017-11-21
11455350,22.5,ug/l,2017-03-15
11455315,0.7,ug/l,2017-11-16
11455350,4.1,ug/l,2017-03-01
11455350,1.9,ug/l,2017-10-11
11455315,1.4,ug/l,2017-09-19
11455315,1.1,ug/l,2017-09-12
11455315,18.2,ug/l,2017-02-07
11455315,1.1,ug/l,2017-10-12
11455315,1.8,ug/l,2017-06-06
11455350,9.2,ug/l,2017-02-07
11455350,1.4,ug/l,2017-09-19
11455315,7.4,ug/l,2017-05-02
11455350,2.6,ug/l,2017-09-14
11455315,21,ug/l,2017-03-15
11455350,2.2,ug/l,2017-07-20
11455315,3,ug/l,2017-10-11
11455315,1.7,ug/l,2018-09-05
11455350,0.9,ug/l,2018-10-17
11455385,1.8,ug/l,2018-09-13
11455385,0.7,ug/l,2018-10-02
11455315,1.1,ug/l,2018-06-07
11455385,0.8,ug/l,2018-10-16
11455315,1.1,ug/l,2018-05-08
11455385,1.7,ug/l,2018-09-05
11455315,1.3,ug/l,2018-04-18
11455350,1.5,ug/l,2018-05-15
11455315,1,ug/l,2018-11-28
11455315,2,ug/l,2018-07-26
11455350,2.1,ug/l,2018-07-26
