date,daymet_precip_mm,daymet_tmax,daymet_tmin,daymet_tmean,daymet_trange,daymet_srad,daymet_vpd
1998-01-01,3.35,13.75,3.51,8.629999999999999,10.24,185.7,785.21
1998-01-02,7.95,15,6.14,10.57,8.86,172.78,944.05
1998-01-03,11.03,15.02,8.11,11.565,6.91,148.87,1080.64
1998-01-04,6.16,12.81,6,9.405000000000001,6.8100000000000005,150.39,934.46
1998-01-05,0,10.68,0.98,5.83,9.7,249.19,655.85
1998-01-06,5.22,9.62,1.31,5.465,8.309999999999999,174.94,671.27
1998-01-07,2.89,9,3.7,6.35,5.3,128.47,796.02
1998-01-08,0.43,9.7,5.67,7.685,4.029999999999999,135.32,913.27
1998-01-09,7.29,10.33,7.07,8.7,3.26,83.33,1006.02
1998-01-10,5.38,13.39,8.03,10.71,5.360000000000001,128.29,1074.28
1998-01-11,15.47,13.72,9.33,11.525,4.390000000000001,108.09,1173.32
1998-01-12,17.8,14.24,10.08,12.16,4.16,103.03,1234.14
1998-01-13,1.67,14.13,6.08,10.105,8.05,232.06,939.67
1998-01-14,16.5,11.61,8.07,9.84,3.539999999999999,91.77,1077.6
1998-01-15,8.83,12.92,9.4,11.16,3.5199999999999996,90.87,1178.79
1998-01-16,0.83,16.65,10.1,13.375,6.549999999999999,202.9,1235.47
1998-01-17,0,19.81,11.12,15.465,8.69,238.66,1322.6
1998-01-18,20.38,14.8,8.39,11.595,6.41,154.13,1100.92
1998-01-19,3.4,12.73,5.08,8.905000000000001,7.65,177.42,876.93
1998-01-20,2,12.26,3.62,7.9399999999999995,8.64,256.55,791.3
1998-01-21,0,12.38,2.24,7.3100000000000005,10.14,278.16,717.9
1998-01-22,0,11.64,3.14,7.390000000000001,8.5,258.94,765.07
1998-01-23,2.51,10.83,4.24,7.535,6.59,167.46,826.86
1998-01-24,0,15.09,4.64,9.865,10.45,284.02,850.58
1998-01-25,0,11.02,5.55,8.285,5.47,196.48,905.86
1998-01-26,3.36,12.13,6.89,9.51,5.240000000000001,142.17,993.84
1998-01-27,0,15,7.51,11.254999999999999,7.49,245.08,1037.22
1998-01-28,13.35,14.17,8.9,11.535,5.27,143.47,1139.57
1998-01-29,11.02,16.5,9.46,12.98,7.039999999999999,177.59,1183.49
1998-01-30,3.25,13.36,3.91,8.635,9.45,216.84,807.78
1998-01-31,4.54,16.1,5.51,10.805,10.590000000000002,226.08,903.3
1998-02-01,19.88,12.61,8.08,10.344999999999999,4.529999999999999,133.24,1078.22
1998-02-02,57.89,15.5,8.7,12.1,6.800000000000001,182.55,1124.18
1998-02-03,25.45,13.68,9.07,11.375,4.609999999999999,137.44,1153.12
1998-02-04,3.79,15.26,6.46,10.86,8.8,218.76,964.96
1998-02-05,14.73,14.47,8.68,11.575,5.790000000000001,169.94,1123.12
1998-02-06,20.72,14.43,9.13,11.780000000000001,5.299999999999999,159.85,1157.73
1998-02-07,27.84,11.76,7.74,9.75,4.02,129.08,1053.32
1998-02-08,2.43,11.97,6.38,9.175,5.590000000000001,171.82,959.8
1998-02-09,0,13.51,4.14,8.825,9.370000000000001,315.94,820.98
1998-02-10,6.56,10.6,5.72,8.16,4.88,155.63,916.86
1998-02-11,3.66,13.99,6.87,10.43,7.12,204.66,992.21
1998-02-12,9.77,12.12,7.29,9.705,4.829999999999999,155.57,1021.85
1998-02-13,12.27,15.3,7.94,11.620000000000001,7.36,211,1067.63
1998-02-14,14.58,14.86,8.02,11.44,6.84,201.61,1073.44
1998-02-15,0,14.55,4.84,9.695,9.71,332.25,862.17
1998-02-16,13.44,11.09,3.93,7.51,7.16,215.77,808.86
1998-02-17,2.02,15.11,4.65,9.879999999999999,10.459999999999999,260.43,850.89
1998-02-18,5.22,16.28,4.66,10.47,11.620000000000001,270.53,851.24
1998-02-19,19.28,12.66,7.25,9.955,5.41,175.32,1018.96
1998-02-20,4.12,13.14,2.42,7.78,10.72,272.21,727.04
1998-02-21,20.5,11.66,6.1,8.879999999999999,5.5600000000000005,185,940.89
1998-02-22,5.23,14.71,4.39,9.55,10.32,270.25,835.83
1998-02-23,8.64,13.79,6.49,10.14,7.299999999999999,227.46,967.12
1998-02-24,0,14.84,3.43,9.135,11.41,380.07,780.96
1998-02-25,0,15.46,6.53,10.995000000000001,8.93,340.03,969.27
1998-02-26,0,15.65,6.87,11.26,8.780000000000001,338.21,992.83
1998-02-27,0,17.7,5.63,11.665,12.07,387.43,911.33
1998-02-28,0,16.52,6.77,11.645,9.75,357,985.63
1998-03-01,0,17.83,5.95,11.889999999999999,11.879999999999999,389.25,931.42
1998-03-02,0,19.45,6.48,12.965,12.969999999999999,400.05,966.45
1998-03-03,0,16.42,6.41,11.415000000000001,10.010000000000002,365.56,961.83
1998-03-04,0,15.35,3.92,9.635,11.43,392.28,808.41
1998-03-05,9.22,11.36,4.24,7.8,7.119999999999999,226.35,826.77
1998-03-06,0,14.89,2.38,8.635,12.510000000000002,411.38,724.61
1998-03-07,3.63,13.32,1.21,7.265000000000001,12.11,306.95,666.79
1998-03-08,0,14.98,5.5,10.24,9.48,358.7,903.15
1998-03-09,0,19.4,4.01,11.704999999999998,15.389999999999999,433.38,813.61
1998-03-10,0,21.3,4.95,13.125,16.35,437.14,869.15
1998-03-11,0,23.25,8.73,15.99,14.52,416.82,1126.66
1998-03-12,3.25,20.01,9.3,14.655000000000001,10.71,274.15,1170.76
1998-03-13,2.63,17.72,10.68,14.2,7.039999999999999,205.03,1284.54
1998-03-14,0,22.9,8.24,15.57,14.659999999999998,422.35,1090.13
1998-03-15,0,22.64,9.52,16.08,13.120000000000001,402.29,1188.68
1998-03-16,0,21.96,11.64,16.8,10.32,350.07,1369.16
1998-03-17,0,21.93,8.84,15.385,13.09,405.84,1135.33
1998-03-18,0,23.67,8.79,16.23,14.880000000000003,426.03,1131.66
1998-03-19,0,22.92,7.89,15.405000000000001,15.030000000000001,431.08,1064.47
1998-03-20,0,20.83,10.15,15.489999999999998,10.679999999999998,361.83,1239.9
1998-03-21,2.38,18.96,11.33,15.145,7.630000000000001,211.56,1340.77
1998-03-22,0.84,21.46,12.6,17.03,8.860000000000001,316.57,1458.17
1998-03-23,11.24,20.6,11.38,15.990000000000002,9.22,246.69,1345.41
1998-03-24,5.29,21.48,10.93,16.205,10.55,272.41,1305.7
1998-03-25,6.03,19.74,10.11,14.924999999999999,9.629999999999999,258.57,1236.19
1998-03-26,0,19.65,8.59,14.12,11.059999999999999,383.31,1116.01
1998-03-27,0,16.96,8.86,12.91,8.100000000000001,309.55,1137.05
1998-03-28,0,15.13,4.2,9.665000000000001,10.93,393.34,824.68
1998-03-29,0,17.37,3.2,10.285,14.170000000000002,453.78,768.55
1998-03-30,4.7,18.44,4.08,11.260000000000002,14.360000000000001,340.6,817.42
1998-03-31,9.03,13.12,7.65,10.385,5.469999999999999,169.78,1047.1
1998-04-01,0,16.15,6.56,11.354999999999999,9.59,366.1,971.33
1998-04-02,3.88,15.31,7.8,11.555,7.510000000000001,228.83,1057.66
1998-04-03,9.96,14.12,7.59,10.855,6.529999999999999,206.99,1042.38
1998-04-04,4.48,15.5,7.33,11.415,8.17,249.69,1024.4
1998-04-05,0,17.37,7.05,12.21,10.32,396.73,1004.68
1998-04-06,0,15.94,7.97,11.955,7.97,332.76,1070.33
1998-04-07,0,16.52,5.81,11.165,10.71,414.27,922.77
1998-04-08,0.63,17.51,5.54,11.525,11.970000000000002,445.8,905.23
1998-04-09,0,19.21,7.93,13.57,11.280000000000001,430.9,1067.45
1998-04-10,0,18.22,9.74,13.98,8.479999999999999,360.41,1206.18
1998-04-11,1.81,17.14,8.98,13.06,8.16,355.33,1145.56
1998-04-12,6.12,16.12,6.17,11.145,9.950000000000001,310.1,945.53
1998-04-13,3.69,14.96,6.08,10.52,8.88,291.94,939.59
1998-04-14,3.54,15.28,2.98,9.129999999999999,12.299999999999999,359.32,756.64
1998-04-15,0,17.6,3.43,10.515,14.170000000000002,505.07,781.13
1998-04-16,0,21.2,4.59,12.895,16.61,526.58,847.39
1998-04-17,0,22.37,5.93,14.15,16.44,522.58,929.87
1998-04-18,0,22.89,6.17,14.530000000000001,16.72,525.23,946.04
1998-04-19,0,24.76,8.53,16.645,16.230000000000004,513.59,1111.55
1998-04-20,0,26.82,9.03,17.925,17.79,521.63,1149.67
1998-04-21,0,29.28,9.93,19.605,19.35,525.96,1221.23
1998-04-22,0,27.23,12.51,19.87,14.72,475.72,1449.58
1998-04-23,6.55,20.53,11.84,16.185000000000002,8.690000000000001,263.82,1387.18
1998-04-24,0,20.58,9.84,15.209999999999999,10.739999999999998,414.36,1214.28
1998-04-25,0,22.66,9.27,15.965,13.39,470.48,1168.79
1998-04-26,0,26.94,10.24,18.59,16.700000000000003,507.05,1246.98
