date,daymet_precip_mm,daymet_tmax,daymet_tmin,daymet_tmean,daymet_trange,daymet_srad,daymet_vpd
1998-01-01,3.7,13.77,3.58,8.675,10.19,185.56,789.44
1998-01-02,9.16,14.73,6.19,10.46,8.54,170.52,947.12
1998-01-03,10.18,14.87,8.46,11.665,6.409999999999998,142.23,1106.2
1998-01-04,6.96,12.81,5.94,9.375,6.87,152.21,930.86
1998-01-05,0,10.8,1.2,6,9.600000000000001,248.89,665.88
1998-01-06,5.7,9.66,1.45,5.555,8.21,174.56,678.22
1998-01-07,1.93,9.05,3.98,6.515000000000001,5.07,166.38,812.06
1998-01-08,0.08,10.05,5.71,7.880000000000001,4.340000000000001,145.53,915.84
1998-01-09,8.14,10.33,7.24,8.785,3.09,80.1,1018.07
1998-01-10,5.92,13.27,8.31,10.79,4.959999999999999,121.19,1094.99
1998-01-11,15.33,13.5,9.65,11.575,3.8499999999999996,96.85,1199.16
1998-01-12,18.18,14.12,9.94,12.03,4.18,104.73,1222.73
1998-01-13,2.63,14.27,6.29,10.28,7.9799999999999995,173.85,953.4
1998-01-14,16.56,11.53,8.33,9.93,3.1999999999999993,84.55,1096.46
1998-01-15,9.02,12.69,9.5,11.094999999999999,3.1899999999999995,84.06,1186.58
1998-01-16,1.04,16.4,10.2,13.299999999999999,6.199999999999999,196.38,1243.86
1998-01-17,0,19.75,11.36,15.555,8.39,235.16,1343.73
1998-01-18,19.74,14.56,8.46,11.510000000000002,6.1,149.92,1106.09
1998-01-19,3.7,12.51,5.21,8.86,7.3,173.67,884.72
1998-01-20,2,12.34,3.69,8.015,8.65,257.73,795.28
1998-01-21,0,12.47,2.16,7.315,10.31,280.53,713.69
1998-01-22,0,12.16,3.35,7.755,8.81,264.26,776.57
1998-01-23,1.92,10.8,4.47,7.635,6.330000000000001,218.66,840.01
1998-01-24,0,15.23,5.02,10.125,10.21,282.15,873.12
1998-01-25,0,11.05,5.79,8.42,5.260000000000001,192.1,921.06
1998-01-26,3.92,12.27,6.9,9.585,5.369999999999999,146.27,994.55
1998-01-27,0,15.12,7.78,11.45,7.339999999999999,243.28,1056.61
1998-01-28,15.46,14.37,9.09,11.73,5.279999999999999,144.76,1154.22
1998-01-29,14.61,16.42,9.43,12.925,6.990000000000002,178.18,1180.97
1998-01-30,5.02,13.56,4.07,8.815000000000001,9.49,217.79,817.26
1998-01-31,5.3,15.87,5.54,10.705,10.329999999999998,224.67,905.31
1998-02-01,18.57,12.45,8.33,10.39,4.119999999999999,123.75,1096.78
1998-02-02,57.69,15.69,8.85,12.27,6.84,184.12,1136.18
1998-02-03,27.94,13.64,8.92,11.280000000000001,4.720000000000001,141.89,1140.92
1998-02-04,5.06,15.03,6.74,10.885,8.29,213.23,983.81
1998-02-05,14.66,14.61,8.89,11.75,5.719999999999999,169.63,1138.93
1998-02-06,23.89,14.41,9.21,11.81,5.199999999999999,158.79,1163.81
1998-02-07,27.3,11.65,7.98,9.815000000000001,3.67,120.67,1070.48
1998-02-08,1.43,12.07,6.58,9.325,5.49,227.85,973.01
1998-02-09,0,13.6,4.2,8.9,9.399999999999999,317.56,824.24
1998-02-10,5.63,10.52,6.2,8.36,4.319999999999999,141.48,947.6
1998-02-11,4,13.96,7.02,10.49,6.940000000000001,202.68,1002.53
1998-02-12,9.58,11.89,7.41,9.65,4.48,148.02,1029.67
1998-02-13,13.42,15.17,8.22,11.695,6.949999999999999,204.9,1088.59
1998-02-14,15.86,14.79,8.1,11.445,6.6899999999999995,200.2,1079.37
1998-02-15,0,14.6,4.96,9.78,9.64,332.45,869.55
1998-02-16,13.1,11.07,4.05,7.5600000000000005,7.0200000000000005,214.54,815.91
1998-02-17,1.11,15.12,4.96,10.04,10.16,344.29,869.33
1998-02-18,4.99,16.37,4.77,10.57,11.600000000000001,270.67,858.14
1998-02-19,19.27,12.61,7.06,9.834999999999999,5.55,180.74,1005.47
1998-02-20,6.13,12.9,2.35,7.625,10.55,271.71,723.35
1998-02-21,19.49,11.41,6.24,8.825,5.17,176.2,950.08
1998-02-22,5.83,14.72,4.55,9.635,10.170000000000002,269.74,845.14
1998-02-23,9.67,13.7,6.55,10.125,7.1499999999999995,226.38,970.91
1998-02-24,0,14.77,3.31,9.04,11.459999999999999,381.86,774.56
1998-02-25,0,15.49,6.35,10.92,9.14,346.05,957.74
1998-02-26,0,15.65,6.91,11.280000000000001,8.74,339.3,995.19
1998-02-27,0,17.82,5.51,11.665,12.31,390.55,903.37
1998-02-28,0,16.62,6.79,11.705,9.830000000000002,359.82,987.05
1998-03-01,0,17.89,5.94,11.915000000000001,11.95,390.79,931.11
1998-03-02,0,19.45,6.6,13.024999999999999,12.85,399.55,974.33
1998-03-03,0,16.44,6.46,11.450000000000001,9.98,366.18,964.98
1998-03-04,0,15.42,3.97,9.695,11.45,393.42,811.45
1998-03-05,10.28,11.18,4.14,7.66,7.04,226.21,820.73
1998-03-06,0,14.95,2.25,8.6,12.7,414.11,718.2
1998-03-07,3.23,13.43,1.22,7.325,12.209999999999999,308.3,667.22
1998-03-08,0,14.87,5.72,10.295,9.149999999999999,352.28,917.05
1998-03-09,0,19.49,4.07,11.78,15.419999999999998,433.63,816.99
1998-03-10,0,21.39,5.01,13.2,16.380000000000003,437.18,872.46
1998-03-11,0,23.37,8.95,16.16,14.420000000000002,415.72,1143.79
1998-03-12,3.49,20.14,9.54,14.84,10.600000000000001,272.56,1189.95
1998-03-13,2.66,17.71,10.77,14.24,6.940000000000001,203.31,1292.25
1998-03-14,0,23.07,8.03,15.55,15.040000000000001,426.32,1074.45
1998-03-15,0,22.74,9.71,16.225,13.029999999999998,400.53,1203.71
1998-03-16,0,22.1,11.65,16.875,10.450000000000001,352.83,1369.63
1998-03-17,0,21.96,8.97,15.465,12.99,404,1145.48
1998-03-18,0,23.8,8.73,16.265,15.07,427.86,1126.53
1998-03-19,0,23.32,8.05,15.685,15.27,432.55,1075.69
1998-03-20,0,21.13,10.07,15.6,11.059999999999999,369.26,1232.86
1998-03-21,2.51,19.02,11.56,15.29,7.459999999999999,206.97,1361.23
1998-03-22,0,21.61,12.78,17.195,8.83,314.52,1475.45
1998-03-23,11.37,20.11,11.62,15.864999999999998,8.49,231.33,1366.94
1998-03-24,4.94,21.49,10.81,16.15,10.679999999999998,274.33,1295.27
1998-03-25,5.07,19.54,10.22,14.879999999999999,9.319999999999999,251.97,1245.83
1998-03-26,0,19.68,8.35,14.015,11.33,388.58,1098.42
1998-03-27,0,17.06,8.59,12.825,8.469999999999999,320.49,1116.43
1998-03-28,3.64,15.09,4.24,9.665,10.85,293.15,826.68
1998-03-29,0,17.51,3.34,10.425,14.170000000000002,452.91,776.23
1998-03-30,5.06,18.49,4.01,11.25,14.479999999999999,341.46,813.31
1998-03-31,9.74,12.74,7.7,10.22,5.04,157.48,1050.51
1998-04-01,0,16.19,6.55,11.370000000000001,9.64,367.33,970.61
1998-04-02,4.12,15.25,7.88,11.565,7.37,224.94,1063.82
1998-04-03,10.26,14.09,7.68,10.885,6.41,203.17,1049.2
1998-04-04,3.75,15.67,7.39,11.53,8.280000000000001,252.04,1028.71
1998-04-05,0,17.51,7.25,12.38,10.260000000000002,394.57,1018.71
1998-04-06,0,15.98,8.02,12,7.960000000000001,332.34,1073.91
1998-04-07,0,16.74,5.81,11.274999999999999,10.93,418.81,922.49
1998-04-08,0.68,17.43,5.71,11.57,11.719999999999999,440.24,916.08
1998-04-09,0,19.25,8.11,13.68,11.14,427.47,1080.22
1998-04-10,0,18.3,9.79,14.045,8.510000000000002,361.2,1210.29
1998-04-11,1.63,17.18,8.94,13.059999999999999,8.24,357.82,1142.5
1998-04-12,6.07,16.25,6.33,11.29,9.92,308.76,956.54
1998-04-13,3.32,15.09,6.04,10.565,9.05,295.65,937.11
1998-04-14,0,15.35,3.05,9.2,12.3,478.66,760.33
1998-04-15,0,17.76,3.3,10.530000000000001,14.46,508.37,773.92
1998-04-16,0,21.29,4.56,12.924999999999999,16.73,527.02,845.69
1998-04-17,0,22.48,5.95,14.215,16.53,522.7,931.25
1998-04-18,0,23.07,6.26,14.665,16.810000000000002,525.29,951.49
1998-04-19,0,25.09,8.57,16.83,16.52,515.48,1114.39
1998-04-20,0,27.18,9.11,18.145,18.07,522.72,1155.73
1998-04-21,0,29.53,10.11,19.82,19.42,525.1,1236.51
1998-04-22,0,27.49,12.98,20.235,14.509999999999998,470.44,1494.66
1998-04-23,6.97,20.19,11.76,15.975000000000001,8.430000000000001,257.33,1380.04
1998-04-24,0,20.72,10.04,15.379999999999999,10.68,411.56,1230.25
1998-04-25,0,22.65,9.31,15.98,13.339999999999998,468.82,1171.76
1998-04-26,0,27.13,10,18.564999999999998,17.13,511.3,1227.44
1998-04-27,0,28.29,10.31,19.3,17.979999999999997,516.22,1253.33
1998-04-28,0,30.11,11.76,20.935,18.35,513.08,1379.5
1998-04-29,0,30.88,12.94,21.91,17.939999999999998,504.87,1490.95
1998-04-30,0,25.44,11.77,18.605,13.670000000000002,452.67,1381.15
