"","date","yolo_dayflow","sac_dayflow","height_sac","inund_days","inundation"
"1",1984-02-01,1295,32400,24.38,0,0
"2",1984-02-02,1141,31000,23.97,0,0
"3",1984-02-03,988,30200,23.55,0,0
"4",1984-02-04,883,28800,23.23,0,0
"5",1984-02-05,811,26400,22.78,0,0
"6",1984-02-06,810,24600,22.2,0,0
"7",1984-02-07,681,23800,21.6,0,0
"8",1984-02-08,563,23000,21.14,0,0
"9",1984-02-09,460,22300,20.75,0,0
"10",1984-02-10,474,22300,20.45,0,0
"11",1984-02-11,485,22100,20.22,0,0
"12",1984-02-12,470,22500,20.09,0,0
"13",1984-02-13,523,22600,20.05,0,0
"14",1984-02-14,667,26700,21.91,0,0
"15",1984-02-15,1255,35100,24.14,0,0
"16",1984-02-16,2325,40500,24.81,0,0
"17",1984-02-17,3271,42600,26.31,0,0
"18",1984-02-18,2869,44500,26.52,0,0
"19",1984-02-19,2770,42400,26.47,0,0
"20",1984-02-20,2655,39400,26,0,0
"21",1984-02-21,2525,37500,25.27,0,0
"22",1984-02-22,2041,39800,24.62,0,0
"23",1984-02-23,1621,41100,24.62,0,0
"24",1984-02-24,1282,40300,24.62,0,0
"25",1984-02-25,1069,37700,24.46,0,0
"26",1984-02-26,953,35900,24.16,0,0
"27",1984-02-27,1020,35300,23.88,0,0
"28",1984-02-28,989,34700,23.63,0,0
"29",1984-02-29,828,33300,23.38,0,0
"30",1984-03-01,935,32000,23.08,0,0
"31",1984-03-02,1057,30900,22.79,0,0
"32",1984-03-03,887,30100,22.49,0,0
"33",1984-03-04,778,30400,22.32,0,0
"34",1984-03-05,750,29400,22.3,0,0
"35",1984-03-06,691,27100,22.04,0,0
"36",1984-03-07,610,25800,21.6,0,0
"37",1984-03-08,494,25400,21.16,0,0
"38",1984-03-09,430,24900,20.74,0,0
"39",1984-03-10,411,24400,20.61,0,0
"40",1984-03-11,387,23900,20.45,0,0
"41",1984-03-12,337,23600,20.35,0,0
"42",1984-03-13,390,22500,20.21,0,0
"43",1984-03-14,719,23000,19.96,0,0
"44",1984-03-15,1046,25900,21.25,0,0
"45",1984-03-16,1124,31600,23.34,0,0
"46",1984-03-17,1410,36100,24.86,0,0
"47",1984-03-18,1780,39600,25.53,0,0
"48",1984-03-19,2554,40300,25.88,0,0
"49",1984-03-20,1981,38900,25.88,0,0
"50",1984-03-21,1806,38500,25.77,0,0
"51",1984-03-22,1645,38000,25.59,0,0
"52",1984-03-23,1490,37500,25.41,0,0
"53",1984-03-24,1383,36600,25.19,0,0
"54",1984-03-25,1400,35900,24.97,0,0
"55",1984-03-26,1545,35000,24.7,0,0
"56",1984-03-27,1593,34700,24.42,0,0
"57",1984-03-28,1434,34100,24.21,0,0
"58",1984-03-29,1065,33400,23.97,0,0
"59",1984-03-30,725,32200,23.7,0,0
"60",1984-03-31,631,32500,23.34,0,0
"61",1984-04-01,613,30300,22.94,0,0
"62",1984-04-02,589,29000,22.53,0,0
"63",1984-04-03,404,27600,22,0,0
"64",1984-04-04,321,25100,21.33,0,0
"65",1984-04-05,301,22500,20.55,0,0
"66",1984-04-06,295,21300,19.83,0,0
"67",1984-04-07,313,19800,19.36,0,0
"68",1984-04-08,357,18900,19.1,0,0
"69",1984-04-09,369,19600,18.92,0,0
"70",1984-04-10,374,20300,18.81,0,0
"71",1984-04-11,349,20800,18.77,0,0
"72",1984-04-12,333,20800,18.76,0,0
"73",1984-04-13,297,20600,18.76,0,0
"74",1984-04-14,304,19600,18.73,0,0
"75",1984-04-15,268,18300,18.65,0,0
"76",1984-04-16,300,17700,18.54,0,0
"77",1984-04-17,323,16500,18.37,0,0
"78",1984-04-18,336,15400,18.09,0,0
"79",1984-04-19,343,14500,17.63,0,0
"80",1984-04-20,360,15000,17.28,0,0
"81",1984-04-21,375,15700,17.07,0,0
"82",1984-04-22,315,15600,17.04,0,0
"83",1984-04-23,298,14500,16.93,0,0
"84",1984-04-24,291,13500,16.73,0,0
"85",1984-04-25,282,12000,16.44,0,0
"86",1984-04-26,271,10800,16.08,0,0
"87",1984-04-27,254,10200,15.73,0,0
"88",1984-04-28,250,10400,15.44,0,0
"89",1984-04-29,249,10600,15.31,0,0
"90",1984-04-30,250,11100,15.23,0,0
"91",1984-05-01,252,11300,15.14,0,0
"92",1984-05-02,252,11200,15.1,0,0
"93",1984-05-03,69,12000,15.14,0,0
