"","date","chlorophyll_fin","location"
"1",2012-06-13,7.1,"cache"
"2",2012-07-12,9.6,"cache"
"3",2012-08-13,22.6,"cache"
"4",2012-09-11,5.3,"cache"
"5",2012-10-09,37.6,"cache"
"6",2012-12-06,7.39999961853027,"cache"
"7",2013-01-24,3.89999985694885,"cache"
"8",2013-02-20,6.69999980926514,"cache"
"9",2013-03-27,6.89999961853027,"cache"
"10",2013-05-01,3,"cache"
"11",2013-05-31,2.69999980926514,"cache"
"12",2013-06-28,3.79999995231628,"cache"
"13",2013-08-02,3.69999980926514,"cache"
"14",2013-09-06,4.5,"cache"
"15",2013-11-05,1.79999995231628,"cache"
"16",2014-01-31,7.79999971389771,"cache"
"17",2014-03-06,4.59999990463257,"cache"
"18",2014-04-07,3.69999980926514,"cache"
"19",2014-05-12,4.39999961853027,"cache"
"20",2014-06-24,6.19999980926514,"cache"
"21",2014-07-30,3.89999985694885,"cache"
"22",2014-08-28,2.79999995231628,"cache"
"23",2014-10-07,4.19999980926514,"cache"
"24",2014-11-18,3.19999980926514,"cache"
"25",2014-12-18,12.5999994277954,"cache"
"26",2015-01-27,3.5,"cache"
"27",2015-03-09,7.59999990463257,"cache"
"28",2015-04-22,3.59999990463257,"cache"
"29",2015-05-27,3.59999990463257,"cache"
"30",2015-07-08,3.89999985694885,"cache"
"31",2015-08-20,3.5,"cache"
"32",2015-10-27,1.19999992847443,"cache"
"33",2015-12-08,1.9,"cache"
"34",2015-12-17,3,"cache"
"35",2016-01-05,1.3,"cache"
"36",2016-01-07,3.7,"cache"
"37",2016-01-21,2.5,"cache"
"38",2016-02-03,3.79999995231628,"cache"
"39",2016-02-09,1.4,"cache"
"40",2016-02-11,3,"cache"
"41",2016-02-18,1.7,"cache"
"42",2016-03-02,4.59999990463257,"cache"
"43",2016-03-08,5,"cache"
"44",2016-03-22,4.4,"cache"
"45",2016-03-31,6.8,"cache"
"46",2016-04-04,16.5,"cache"
"47",2016-04-05,8.5,"cache"
"48",2016-04-26,8.9,"cache"
"49",2016-04-28,11.2999992370605,"cache"
"50",2016-05-06,38.3,"cache"
"51",2016-05-10,20.3,"cache"
"52",2016-05-24,3.7,"cache"
"53",2016-05-25,8.8,"cache"
"54",2016-06-07,10,"cache"
"55",2016-06-08,2.3,"cache"
"56",2016-06-09,8.6,"cache"
"57",2016-06-16,27.4,"cache"
"58",2016-06-28,9.4,"cache"
"59",2016-06-30,3.6,"cache"
"60",2016-07-12,3.3,"cache"
"61",2016-07-26,5.5,"cache"
"62",2016-08-03,7.6,"cache"
"63",2016-08-09,3,"cache"
"64",2016-08-23,8.4,"cache"
"65",2016-08-24,5.3,"cache"
"66",2016-08-30,2.5,"cache"
"67",2016-09-20,1.3,"cache"
"68",2016-09-29,2.1,"cache"
"69",2016-10-12,1.1,"cache"
"70",2016-10-20,1.9,"cache"
"71",2016-10-27,1.6,"cache"
"72",2016-11-09,1,"cache"
"73",2016-11-14,1.2,"cache"
"74",2016-11-17,1,"cache"
"75",2016-12-08,1,"cache"
"76",2016-12-15,1.6,"cache"
"77",2016-12-22,6.2,"cache"
"78",2017-02-07,18.2,"cache"
"79",2017-02-14,7,"cache"
"80",2017-03-01,0.7,"cache"
"81",2017-03-08,14.1,"cache"
"82",2017-03-13,20.5,"cache"
"83",2017-03-15,21,"cache"
"84",2017-04-05,13.4,"cache"
"85",2017-04-11,5.6,"cache"
"86",2017-05-02,6.15,"cache"
"87",2017-05-09,16.1,"cache"
"88",2017-05-17,2.1,"cache"
"89",2017-06-06,1.8,"cache"
"90",2017-06-07,2.6,"cache"
"91",2017-06-19,1.4,"cache"
"92",2017-06-27,2.3,"cache"
"93",2017-07-11,2.4,"cache"
"94",2017-07-13,2,"cache"
"95",2017-07-20,1,"cache"
"96",2017-08-10,11.1,"cache"
"97",2017-08-15,6.1,"cache"
"98",2017-08-22,2.2,"cache"
"99",2017-08-24,1.6,"cache"
"100",2017-09-07,3.2,"cache"
"101",2017-09-12,1.1,"cache"
"102",2017-09-13,4.4,"cache"
"103",2017-09-14,2.6,"cache"
"104",2017-09-19,1.4,"cache"
"105",2017-09-26,0.4,"cache"
"106",2017-10-10,2.1,"cache"
"107",2017-10-11,3,"cache"
"108",2017-10-12,1.1,"cache"
"109",2017-10-24,1.6,"cache"
"110",2017-11-02,0.5,"cache"
"111",2017-11-09,1.1,"cache"
"112",2017-11-15,2.3,"cache"
"113",2017-11-16,0.7,"cache"
"114",2017-11-21,0.9,"cache"
"115",2017-12-05,4.7,"cache"
"116",2017-12-07,1.5,"cache"
"117",2017-12-14,1.3,"cache"
"118",2017-12-18,2.8,"cache"
"119",2018-01-09,12.7,"cache"
"120",2018-01-11,2.1,"cache"
"121",2018-01-30,1.3,"cache"
"122",2018-02-06,8.3,"cache"
"123",2018-02-08,1.6,"cache"
"124",2018-02-13,2.6,"cache"
"125",2018-03-05,2.6,"cache"
"126",2018-03-06,2.1,"cache"
"127",2018-03-08,13.3,"cache"
"128",2018-03-15,1.4,"cache"
"129",2018-03-28,4.2,"cache"
"130",2018-04-02,2.9,"cache"
"131",2018-04-03,1.6,"cache"
"132",2018-04-05,7,"cache"
"133",2018-04-10,1.7,"cache"
"134",2018-04-12,2.7,"cache"
"135",2018-04-18,1.3,"cache"
"136",2018-04-19,2.41666666666667,"cache"
"137",2018-04-20,2.9,"cache"
"138",2018-04-24,2.92222222222222,"cache"
"139",2018-04-25,2.1,"cache"
"140",2018-04-26,2.03333333333333,"cache"
"141",2018-05-07,2,"cache"
"142",2018-05-08,1.1,"cache"
"143",2018-05-10,4,"cache"
"144",2018-05-15,1.5,"cache"
"145",2018-05-17,1.5,"cache"
"146",2018-05-30,1.4,"cache"
"147",2018-06-06,1.5,"cache"
"148",2018-06-07,1.1,"cache"
"149",2018-07-10,1.4,"cache"
"150",2018-07-12,2,"cache"
"151",2018-07-17,1.4,"cache"
"152",2018-07-26,2,"cache"
"153",2018-08-01,1.9,"cache"
"154",2018-08-14,1.91666666666667,"cache"
"155",2018-08-15,1.7,"cache"
"156",2018-08-16,1.39999997615814,"cache"
"157",2018-08-23,2.7,"cache"
"158",2018-09-05,1.7,"cache"
"159",2018-09-13,1.8,"cache"
"160",2018-09-19,3.7,"cache"
"161",2018-09-26,1.5,"cache"
"162",2018-10-02,0.7,"cache"
"163",2018-10-10,0.7,"cache"
