"","station_wq_chl","date","latitude","longitude","chlorophyll","location"
"1","D22",1998-01-09,38.08453,-121.7391,1,"main_below"
"2","D22",1998-03-10,38.08453,-121.7391,5.52,"main_below"
"3","D22",1998-04-23,38.08453,-121.7391,5.05,"main_below"
"4","D22",1998-05-21,38.08453,-121.7391,1.26,"main_below"
"5","D22",1998-06-19,38.08453,-121.7391,1.28,"main_below"
"6","D22",1998-07-20,38.08453,-121.7391,2.05,"main_below"
"7","D22",1998-08-14,38.08453,-121.7391,2.38,"main_below"
"8","D22",1998-09-15,38.08453,-121.7391,1.4,"main_below"
"9","D22",1998-10-19,38.08453,-121.7391,2.07,"main_below"
"10","D22",1998-11-16,38.08453,-121.7391,1.1,"main_below"
"11","D22",1998-12-16,38.08453,-121.7391,1.8,"main_below"
"12","D22",1999-01-12,38.08453,-121.7391,2.3,"main_below"
"13","D22",1999-02-11,38.08453,-121.7391,2.1,"main_below"
"14","D22",1999-03-12,38.08453,-121.7391,3.7,"main_below"
"15","D22",1999-04-12,38.08453,-121.7391,2.95,"main_below"
"16","D22",1999-05-11,38.08453,-121.7391,2.76,"main_below"
"17","D22",1999-06-09,38.08453,-121.7391,2.13,"main_below"
"18","D22",1999-07-08,38.08453,-121.7391,2.17,"main_below"
"19","D22",1999-08-05,38.08453,-121.7391,1.37,"main_below"
"20","D22",1999-09-20,38.08453,-121.7391,2.14,"main_below"
"21","D22",1999-10-19,38.08453,-121.7391,2.26,"main_below"
"22","D22",1999-11-18,38.08453,-121.7391,1.66,"main_below"
"23","D22",1999-12-17,38.08453,-121.7391,1.3,"main_below"
"24","D22",2000-02-16,38.08453,-121.7391,1.78,"main_below"
"25","D22",2000-03-15,38.08453,-121.7391,2.69,"main_below"
"26","D22",2000-04-13,38.08453,-121.7391,3.51,"main_below"
"27","D22",2000-05-15,38.08453,-121.7391,2.54,"main_below"
"28","D22",2000-06-12,38.08453,-121.7391,1.81,"main_below"
"29","D22",2000-07-10,38.08453,-121.7391,2.68,"main_below"
"30","D22",2000-08-08,38.08453,-121.7391,2.69,"main_below"
"31","D22",2000-09-07,38.08453,-121.7391,2.56,"main_below"
"32","D22",2000-10-05,38.08453,-121.7391,2.02,"main_below"
"33","D22",2000-11-06,38.08453,-121.7391,0.68,"main_below"
"34","D22",2000-12-06,38.08453,-121.7391,1.75,"main_below"
"35","D22",2001-01-05,38.08453,-121.7391,1.21,"main_below"
"36","D22",2001-02-05,38.08453,-121.7391,1.24,"main_below"
"37","D22",2001-03-19,38.08453,-121.7391,2.29,"main_below"
"38","D22",2001-04-17,38.08453,-121.7391,2.81,"main_below"
"39","D22",2001-05-17,38.08453,-121.7391,6.53,"main_below"
"40","D22",2001-06-14,38.08453,-121.7391,2.49,"main_below"
"41","D22",2001-07-16,38.08453,-121.7391,2.94,"main_below"
"42","D22",2001-08-14,38.08453,-121.7391,3.4,"main_below"
"43","D22",2001-09-12,38.08453,-121.7391,1.84,"main_below"
"44","D22",2001-10-11,38.08453,-121.7391,1.65,"main_below"
"45","D22",2001-11-13,38.08453,-121.7391,1.88,"main_below"
"46","D22",2001-12-10,38.08453,-121.7391,1.61,"main_below"
"47","D22",2002-01-09,38.08453,-121.7391,1.37,"main_below"
"48","D22",2002-02-07,38.08453,-121.7391,1.86,"main_below"
"49","D22",2002-03-07,38.08453,-121.7391,1.14,"main_below"
"50","D22",2002-04-08,38.08453,-121.7391,6.02,"main_below"
"51","D22",2002-05-06,38.08453,-121.7391,6.42,"main_below"
"52","D22",2002-06-05,38.08453,-121.7391,3.2,"main_below"
"53","D22",2002-07-18,38.08453,-121.7391,3.6,"main_below"
"54","D22",2002-08-16,38.08453,-121.7391,2.87,"main_below"
"55","D22",2002-09-16,38.08453,-121.7391,2.81,"main_below"
"56","D22",2002-10-15,38.08453,-121.7391,1.56,"main_below"
"57","D22",2002-11-14,38.08453,-121.7391,1.33,"main_below"
"58","D22",2002-12-12,38.08453,-121.7391,2.13,"main_below"
"59","D22",2003-01-13,38.08453,-121.7391,0.94,"main_below"
"60","D22",2003-02-10,38.08453,-121.7391,1.48,"main_below"
"61","D22",2003-03-13,38.08453,-121.7391,3.79,"main_below"
"62","D22",2003-04-11,38.08453,-121.7391,4.07,"main_below"
"63","D22",2003-05-12,38.08453,-121.7391,4.29,"main_below"
"64","D22",2003-06-10,38.08453,-121.7391,1.59,"main_below"
"65","D22",2003-07-22,38.08453,-121.7391,2.53,"main_below"
"66","D22",2003-08-07,38.08453,-121.7391,2.03,"main_below"
"67","D22",2003-09-04,38.08453,-121.7391,3.21,"main_below"
"68","D22",2003-10-20,38.08453,-121.7391,2.56,"main_below"
"69","D22",2003-11-19,38.08453,-121.7391,0.71,"main_below"
"70","D22",2003-12-18,38.08453,-121.7391,1.32,"main_below"
"71","D22",2004-01-22,38.08453,-121.7391,1.48,"main_below"
"72","D22",2004-02-19,38.08453,-121.7391,1.38,"main_below"
"73","D22",2004-03-17,38.08453,-121.7391,6.84,"main_below"
"74","D22",2004-04-14,38.08453,-121.7391,3.3,"main_below"
"75","D22",2004-05-13,38.08453,-121.7391,2.58,"main_below"
"76","D22",2004-06-09,38.08453,-121.7391,3.35,"main_below"
"77","D22",2004-07-08,38.08453,-121.7391,2.85,"main_below"
"78","D22",2004-08-24,38.08453,-121.7391,2.45,"main_below"
"79","D22",2004-09-23,38.08453,-121.7391,1.63,"main_below"
"80","D22",2004-10-21,38.08453,-121.7391,1.99,"main_below"
"81","D22",2004-11-22,38.08453,-121.7391,1.24,"main_below"
"82","D22",2004-12-21,38.08453,-121.7391,0.19,"main_below"
"83","D22",2005-01-20,38.08453,-121.7391,1.05,"main_below"
"84","D22",2005-02-17,38.08453,-121.7391,0.93,"main_below"
"85","D22",2005-03-22,38.08453,-121.7391,1.74,"main_below"
"86","D22",2005-04-19,38.08453,-121.7391,1.69,"main_below"
"87","D22",2005-05-19,38.08453,-121.7391,0.98,"main_below"
"88","D22",2005-06-16,38.08453,-121.7391,1.42,"main_below"
"89","D22",2005-07-14,38.08453,-121.7391,2.4,"main_below"
"90","D22",2005-08-11,38.08453,-121.7391,3.97,"main_below"
"91","D22",2005-09-26,38.08453,-121.7391,2.81,"main_below"
"92","D22",2005-10-25,38.08453,-121.7391,1.8,"main_below"
"93","D22",2005-11-22,38.08453,-121.7391,1.79,"main_below"
"94","D22",2005-12-22,38.08453,-121.7391,0.95,"main_below"
"95","D22",2006-01-24,38.08453,-121.7391,3.6,"main_below"
"96","D22",2006-02-22,38.08453,-121.7391,3.02,"main_below"
"97","D22",2006-03-23,38.08453,-121.7391,7.9,"main_below"
"98","D22",2006-04-24,38.08453,-121.7391,4.49,"main_below"
"99","D22",2006-05-22,38.08453,-121.7391,1.35,"main_below"
"100","D22",2006-06-26,38.08453,-121.7391,2.64,"main_below"
"101","D22",2006-07-18,38.08453,-121.7391,2.39,"main_below"
"102","D22",2006-08-16,38.08453,-121.7391,2.7,"main_below"
"103","D22",2006-09-14,38.08453,-121.7391,2.36,"main_below"
"104","D22",2006-10-16,38.08453,-121.7391,1.95,"main_below"
"105","D22",2006-11-14,38.08453,-121.7391,1,"main_below"
"106","D22",2006-12-12,38.08453,-121.7391,1.09,"main_below"
"107","D22",2007-01-16,38.08453,-121.7391,1.2,"main_below"
"108","D22",2007-02-14,38.08453,-121.7391,2.29,"main_below"
"109","D22",2007-03-13,38.08453,-121.7391,1.35,"main_below"
"110","D22",2007-04-12,38.08453,-121.7391,2.22,"main_below"
"111","D22",2007-05-10,38.08453,-121.7391,1.69,"main_below"
"112","D22",2007-06-11,38.08453,-121.7391,2.16,"main_below"
"113","D22",2007-07-20,38.08453,-121.7391,2.37,"main_below"
"114","D22",2007-08-20,38.08453,-121.7391,3.26,"main_below"
"115","D22",2007-09-19,38.08453,-121.7391,2.87,"main_below"
"116","D22",2007-10-17,38.08453,-121.7391,1.42,"main_below"
"117","D22",2007-12-17,38.08453,-121.7391,2.05,"main_below"
"118","D22",2008-01-16,38.08453,-121.7391,1.19,"main_below"
"119","D22",2008-02-15,38.08453,-121.7391,1.87,"main_below"
"120","D22",2008-03-14,38.08453,-121.7391,0.53,"main_below"
"121","D22",2008-04-14,38.08453,-121.7391,11,"main_below"
"122","D22",2008-05-12,38.08453,-121.7391,5.45,"main_below"
"123","D22",2008-06-11,38.08453,-121.7391,3.96,"main_below"
"124","D22",2008-07-09,38.08453,-121.7391,3.5,"main_below"
"125","D22",2008-08-11,38.08453,-121.7391,2.22,"main_below"
"126","D22",2008-09-05,38.08453,-121.7391,2.5,"main_below"
"127","D22",2008-10-06,38.08453,-121.7391,2.6,"main_below"
"128","D22",2008-11-19,38.08453,-121.7391,1.21,"main_below"
"129","D22",2008-12-05,38.08453,-121.7391,2.31,"main_below"
"130","D22",2009-01-16,38.08453,-121.7391,2.95,"main_below"
"131","D22",2009-02-19,38.08453,-121.7391,2.44,"main_below"
"132","D22",2009-03-20,38.08453,-121.7391,0.97,"main_below"
"133","D22",2009-04-17,38.08453,-121.7391,1.41,"main_below"
"134","D22",2009-05-18,38.08453,-121.7391,2.6,"main_below"
"135","D22",2009-06-17,38.08453,-121.7391,3,"main_below"
"136","D22",2009-07-15,38.08453,-121.7391,3.05,"main_below"
"137","D22",2009-08-14,38.08453,-121.7391,5.6,"main_below"
"138","D22",2009-09-11,38.08453,-121.7391,3.27,"main_below"
"139","D22",2009-10-09,38.08453,-121.7391,1.77,"main_below"
"140","D22",2009-11-06,38.08453,-121.7391,2.18,"main_below"
"141","D22",2009-12-10,38.08453,-121.7391,2.63,"main_below"
"142","D22",2010-01-08,38.08453,-121.7391,1.41,"main_below"
"143","D22",2010-02-08,38.08453,-121.7391,1.47,"main_below"
"144","D22",2010-03-10,38.08453,-121.7391,0.8,"main_below"
"145","D22",2010-04-07,38.08453,-121.7391,1.74,"main_below"
"146","D22",2010-05-07,38.08453,-121.7391,4.38,"main_below"
"147","D22",2010-06-04,38.08453,-121.7391,1.35,"main_below"
"148","D22",2010-07-06,38.08453,-121.7391,5.99,"main_below"
"149","D22",2010-08-04,38.08453,-121.7391,6.3,"main_below"
"150","D22",2010-09-15,38.08453,-121.7391,2.76,"main_below"
"151","D22",2010-10-14,38.08453,-121.7391,1.82,"main_below"
"152","D22",2010-11-15,38.08453,-121.7391,1.82,"main_below"
"153","D22",2010-12-15,38.08453,-121.7391,0.94,"main_below"
"154","D22",2011-01-14,38.08453,-121.7391,1.05,"main_below"
"155","D22",2011-02-14,38.08453,-121.7391,1.86,"main_below"
"156","D22",2011-03-14,38.08453,-121.7391,1.91,"main_below"
"157","D22",2011-04-13,38.08453,-121.7391,9.29,"main_below"
"158","D22",2011-05-12,38.08453,-121.7391,4.74,"main_below"
"159","D22",2011-06-08,38.08453,-121.7391,1.6,"main_below"
"160","D22",2011-07-08,38.08453,-121.7391,1.52,"main_below"
"161","D22",2011-08-23,38.08453,-121.7391,5.97,"main_below"
"162","D22",2011-09-21,38.08453,-121.7391,7.16,"main_below"
"163","D22",2011-11-18,38.08453,-121.7391,5.34,"main_below"
"164","D22",2011-12-19,38.08453,-121.7391,1.37,"main_below"
"165","D22",2012-01-19,38.08453,-121.7391,1.79,"main_below"
"166","D22",2012-02-15,38.08453,-121.7391,2.21,"main_below"
"167","D22",2012-03-16,38.08453,-121.7391,1.63,"main_below"
"168","D22",2012-04-13,38.08453,-121.7391,1.4,"main_below"
"169","D22",2012-05-14,38.08453,-121.7391,2.32,"main_below"
"170","D22",2012-06-13,38.08453,-121.7391,4.36,"main_below"
"171","D22",2012-07-11,38.08453,-121.7391,4.22,"main_below"
"172","D22",2012-08-09,38.08453,-121.7391,5.69,"main_below"
"173","D22",2012-09-07,38.08453,-121.7391,3.36,"main_below"
"174","D22",2012-10-08,38.08453,-121.7391,61.3,"main_below"
"175","D22",2012-11-07,38.08453,-121.7391,1.1,"main_below"
"176","D22",2012-12-10,38.08453,-121.7391,0.93,"main_below"
"177","D22",2013-01-22,38.08453,-121.7391,1.24,"main_below"
"178","D22",2013-02-21,38.08453,-121.7391,1.34,"main_below"
"179","D22",2013-03-22,38.08453,-121.7391,3.46,"main_below"
"180","D22",2013-04-22,38.08453,-121.7391,8.12,"main_below"
"181","D22",2013-05-20,38.08453,-121.7391,2.88,"main_below"
"182","D22",2013-06-18,38.08453,-121.7391,3.36,"main_below"
"183","D22",2013-07-17,38.08453,-121.7391,4.44,"main_below"
"184","D22",2013-08-14,38.08453,-121.7391,2.62,"main_below"
"185","D22",2013-09-25,38.08453,-121.7391,2.82,"main_below"
"186","D22",2013-10-11,38.08453,-121.7391,2.21,"main_below"
"187","D22",2013-11-12,38.08453,-121.7391,1.36,"main_below"
"188","D22",2013-12-11,38.08453,-121.7391,1.51,"main_below"
"189","D22",2014-01-10,38.08453,-121.7391,1.65,"main_below"
"190","D22",2014-02-10,38.08453,-121.7391,2.2,"main_below"
"191","D22",2014-03-10,38.08453,-121.7391,1.11,"main_below"
"192","D22",2014-04-09,38.08453,-121.7391,2.25,"main_below"
"193","D22",2014-05-09,38.08453,-121.7391,4.19,"main_below"
"194","D22",2014-06-06,38.08453,-121.7391,2.18,"main_below"
"195","D22",2014-07-07,38.08453,-121.7391,11.96,"main_below"
"196","D22",2014-08-19,38.08453,-121.7391,2.84,"main_below"
"197","D22",2014-09-18,38.08453,-121.7391,5.19,"main_below"
"198","D22",2014-10-03,38.08453,-121.7391,2.3,"main_below"
"199","D22",2014-11-14,38.08453,-121.7391,1.45,"main_below"
"200","D22",2014-12-17,38.08453,-121.7391,1.5,"main_below"
"201","D22",2015-01-16,38.08453,-121.7391,0.37,"main_below"
"202","D22",2015-02-13,38.08453,-121.7391,1.87,"main_below"
"203","D22",2015-03-13,38.08453,-121.7391,9.37,"main_below"
"204","D22",2015-04-13,38.08453,-121.7391,2.97,"main_below"
"205","D22",2015-05-13,38.08453,-121.7391,1.36,"main_below"
"206","D22",2015-06-10,38.08453,-121.7391,2.76,"main_below"
"207","D22",2015-07-10,38.08453,-121.7391,2.82,"main_below"
"208","D22",2015-08-25,38.08453,-121.7391,2.54,"main_below"
"209","D22",2015-09-22,38.08453,-121.7391,1.72,"main_below"
"210","D22",2015-10-21,38.08453,-121.7391,1.4,"main_below"
"211","D22",2015-11-04,38.08453,-121.7391,0.85,"main_below"
"212","D22",2015-12-04,38.08453,-121.7391,2.87,"main_below"
"213","D22",2016-01-06,38.08453,-121.7391,2.58,"main_below"
"214","D22",2016-02-03,38.08453,-121.7391,1.38,"main_below"
"215","D22",2016-03-04,38.08453,-121.7391,3.46,"main_below"
"216","D22",2016-04-15,38.08453,-121.7391,3.03,"main_below"
"217","D22",2016-05-13,38.08453,-121.7391,58.8,"main_below"
"218","D22",2016-06-13,38.08453,-121.7391,10.62,"main_below"
"219","D22",2016-07-13,38.08453,-121.7391,6.34,"main_below"
