source,doy1998,station_wq_chl,latitude,longitude,field_coords,date,depth,tide,chlorophyll,agency_cd,station_flow,water_year,Q_sday,daymet_tmax,daymet_srad,daymet_precip_mm,SAC,flow_yolo,height_sac_na,inund_days,inundation,max_wtemp_RIV,station_wtemp,Q_1day,Q_mwk,T_mwk,Srad_mwk,WT_mwk
YBFMP,5357,LIS,38.474816,-121.588584,FALSE,2012-08-31,1,NA,10.5,USGS,11425500,2012,14000,24.11,312.79,0,13900,495,17.38,0,0,21.5,RIV,13700,13742.857142857143,30.48857142857143,423.0471428571428,21.585714285714285
YBFMP,5361,LIS,38.474816,-121.588584,FALSE,2012-09-04,1,NA,6.51,USGS,11425500,2012,15400,33.24,450.33,0,15700,424,17.99,0,0,21.6,RIV,15200,14485.714285714286,31.792857142857144,440.92571428571426,21.542857142857144
YBFMP,5364,LIS,38.474816,-121.588584,FALSE,2012-09-07,1,NA,4.36,USGS,11425500,2012,16200,32.35,438.65,0,16900,428,18.37,0,0,20.7,RIV,16000,15457.142857142857,32.15571428571428,447.98571428571427,21.242857142857144
YBFMP,5368,LIS,38.474816,-121.588584,FALSE,2012-09-11,1,NA,5.02,USGS,11425500,2012,16600,32.88,443.3,0,17400,418,18.54,0,0,20.9,RIV,16500,16285.714285714286,31.93,430.3457142857143,20.771428571428572
YBFMP,5371,LIS,38.474816,-121.588584,FALSE,2012-09-14,1,NA,6.09,USGS,11425500,2012,16300,33.08,410.52,0,17000,399,18.38,0,0,21.1,RIV,16400,16428.571428571428,32.76,429.50857142857143,20.814285714285713
YBFMP,5374,LIS,38.474816,-121.588584,FALSE,2012-09-17,1,NA,7.69,USGS,11425500,2012,15600,30.37,413.86,0,16100,373,17.99,0,0,20.7,RIV,15800,16157.142857142857,32.69428571428571,428.27,20.97142857142857
YBFMP,5382,LIS,38.474816,-121.588584,FALSE,2012-09-25,1,NA,19.6,USGS,11425500,2012,13000,30.74,387.77,0,13400,362,16.66,0,0,20.3,RIV,13300,13642.857142857143,31.31714285714286,404.8985714285714,20
YBFMP,5544,LIS,38.474816,-121.588584,FALSE,2013-03-06,1,NA,24.99,USGS,11425500,2013,10900,14.51,170.62,6.54,12000,234,15.51,0,0,13.1,RIV,10800,10985.714285714286,19.20285714285714,293.6328571428571,12.271428571428572
YBFMP,5551,LIS,38.474816,-121.588584,FALSE,2013-03-13,1,NA,33.96,USGS,11425500,2013,14100,25.53,428.77,0,15400,420,16.84,0,0,14.2,RIV,13700,11957.142857142857,21.71,407.80857142857144,13.514285714285714
YBFMP,5558,LIS,38.474816,-121.588584,FALSE,2013-03-20,1,NA,44.11,USGS,11425500,2013,12700,17.86,277.63,0.36,14600,469,16.79,0,0,15.6,RIV,13800,13814.285714285714,22.484285714285715,373.6628571428571,15.157142857142857
YBFMP,5572,LIS,38.474816,-121.588584,FALSE,2013-04-03,1,NA,11.75,USGS,11425500,2013,16000,23.82,323.09,11.15,17000,398,18.38,0,0,17.7,RIV,14900,12514.285714285714,22.87,339.4942857142857,16.271428571428572
YBFMP,5584,LIS,38.474816,-121.588584,FALSE,2013-04-15,1,NA,15.91,USGS,11425500,2013,12100,19.7,420.3,0,13100,369,16.75,0,0,16.9,RIV,12700,13842.857142857143,25.29285714285714,471.4242857142857,16.728571428571428
YBFMP,5598,LIS,38.474816,-121.588584,FALSE,2013-04-29,1,NA,28.09,USGS,11425500,2013,11000,32.87,493.83,0,11400,689,15.22,0,0,20.1,RIV,10300,7987.142857142857,29.731428571428573,515.9285714285714,18.542857142857144
YBFMP,5613,LIS,38.474816,-121.588584,FALSE,2013-05-14,1,NA,35.67,USGS,11425500,2013,11200,29.24,454.16,0,11200,510,16.04,0,0,21.2,RIV,11400,11271.42857142857,29.96142857142857,483.0885714285714,20.457142857142856
