date,daymet_precip_mm,daymet_tmax,daymet_tmin,daymet_tmean,daymet_trange,daymet_srad,daymet_vpd,region
1998-01-01,3.91,13.73,3.6,8.665000000000001,10.13,184.37,790.24,downstream
1998-01-02,5.07,15.51,6.13,10.82,9.379999999999999,176.6,943.01,downstream
1998-01-03,14.85,15.32,7.46,11.39,7.86,160.71,1033.38,downstream
1998-01-04,4.87,12.76,6.1,9.43,6.66,146.61,941.09,downstream
1998-01-05,0,10.43,0.73,5.58,9.7,249.06,643.76,downstream
1998-01-06,4.69,9.58,1.06,5.32,8.52,176.19,659.57,downstream
1998-01-07,0,8.81,3.32,6.065,5.49,174.92,774.62,downstream
1998-01-08,0.71,9.08,5.61,7.345000000000001,3.4699999999999998,116.15,909.88,downstream
1998-01-09,6.23,10.32,6.82,8.57,3.5,87.56,989.25,downstream
1998-01-10,5.19,13.55,7.58,10.565000000000001,5.970000000000001,138.09,1042.09,downstream
1998-01-11,14.69,14.07,8.77,11.42,5.300000000000001,125.47,1130.11,downstream
1998-01-12,16.62,14.44,10.32,12.379999999999999,4.119999999999999,100.63,1253.5,downstream
1998-01-13,3.77,13.95,5.71,9.83,8.239999999999998,175.52,915.88,downstream
1998-01-14,16.44,11.78,7.69,9.735,4.089999999999999,103.29,1049.83,downstream
1998-01-15,8.45,13.32,9.25,11.285,4.07,102.29,1167.04,downstream
1998-01-16,0,17.1,9.95,13.525,7.150000000000002,213.14,1223.04,downstream
1998-01-17,0,19.94,10.66,15.3,9.280000000000001,246.12,1282.57,downstream
1998-01-18,21.78,15.14,8.26,11.7,6.880000000000001,160.29,1091.13,downstream
1998-01-19,2.42,13.01,4.94,8.975,8.07,181.79,868.14,downstream
1998-01-20,0,12.07,3.6,7.835,8.47,252.38,790.27,downstream
1998-01-21,0,12.25,2.46,7.355,9.79,273.4,729.13,downstream
1998-01-22,0,10.83,2.88,6.855,7.95,248.61,751.28,downstream
1998-01-23,0,10.87,3.89,7.38,6.979999999999999,230.36,806.44,downstream
1998-01-24,0,14.93,4.09,9.51,10.84,287.75,818.4,downstream
1998-01-25,0,11.49,5.18,8.335,6.3100000000000005,216.39,883.13,downstream
1998-01-26,2.23,12.11,7.1,9.605,5.01,135.15,1008.37,downstream
1998-01-27,0,14.67,7.04,10.855,7.63,246.96,1003.92,downstream
1998-01-28,13.97,13.78,8.62,11.2,5.16,139.42,1118.48,downstream
1998-01-29,7.35,16.58,9.46,13.02,7.1199999999999974,177.11,1183.92,downstream
1998-01-30,3.14,12.93,3.61,8.27,9.32,214.73,790.73,downstream
1998-01-31,5.04,16.52,5.45,10.985,11.07,228.44,899.5,downstream
1998-02-01,16.85,12.81,7.69,10.25,5.12,145.66,1049.85,downstream
1998-02-02,58.49,15.29,8.46,11.875,6.829999999999998,181.49,1106.47,downstream
1998-02-03,19.12,13.62,9.32,11.469999999999999,4.299999999999999,127.63,1172.23,downstream
1998-02-04,6.97,15.57,6.01,10.79,9.56,226.03,935.47,downstream
1998-02-05,12.35,14.28,8.36,11.32,5.92,170.98,1098.69,downstream
1998-02-06,15,14.53,8.98,11.754999999999999,5.549999999999999,163.4,1146.17,downstream
1998-02-07,28.53,11.88,7.34,9.61,4.540000000000001,141.11,1025.15,downstream
1998-02-08,4.79,11.81,6.11,8.96,5.7,171.81,941.6,downstream
1998-02-09,0,13.33,4.09,8.71,9.24,312.28,818.33,downstream
1998-02-10,7.9,10.7,4.91,7.805,5.789999999999999,176.42,866.6,downstream
1998-02-11,3.68,14.05,6.66,10.355,7.390000000000001,207.03,978.52,downstream
1998-02-12,10.14,12.5,7.16,9.83,5.34,166.15,1012.27,downstream
1998-02-13,11.46,15.53,7.44,11.485,8.09,220.8,1032.4,downstream
1998-02-14,11.66,14.97,7.78,11.375,7.19,205.82,1056.55,downstream
1998-02-15,0,14.4,4.69,9.545,9.71,330.38,853.05,downstream
1998-02-16,12.4,11.11,3.77,7.4399999999999995,7.34,217.02,799.89,downstream
1998-02-17,0,15.14,4.16,9.65,10.98,352.7,821.92,downstream
1998-02-18,6.17,16.11,4.56,10.334999999999999,11.55,269.31,845.76,downstream
1998-02-19,16.93,12.67,7.64,10.155,5.03,162.48,1046.31,downstream
1998-02-20,3.44,13.52,2.65,8.084999999999999,10.87,272.1,738.73,downstream
1998-02-21,21.2,12.05,5.98,9.015,6.07,194.65,933.64,downstream
1998-02-22,0,14.75,4.18,9.465,10.57,361.83,823.39,downstream
1998-02-23,7.64,13.96,6.46,10.21,7.500000000000001,228.64,965.17,downstream
1998-02-24,0,14.87,3.73,9.299999999999999,11.139999999999999,375.55,797.74,downstream
1998-02-25,0,15.38,6.89,11.135,8.490000000000002,327.68,994.14,downstream
1998-02-26,0,15.59,6.84,11.215,8.75,335.27,990.57,downstream
1998-02-27,0,17.46,5.97,11.715,11.490000000000002,379.71,933.06,downstream
1998-02-28,0,16.33,6.83,11.579999999999998,9.499999999999998,350.69,990.03,downstream
1998-03-01,0,17.72,6.1,11.91,11.62,385.28,941.4,downstream
1998-03-02,0,19.39,6.41,12.9,12.98,400.1,961.6,downstream
1998-03-03,0,16.3,6.43,11.365,9.870000000000001,361.9,963.17,downstream
1998-03-04,0,15.22,4.01,9.615,11.21,388.49,813.74,downstream
1998-03-05,7.47,11.56,4.45,8.005,7.11,224.45,839.3,downstream
1998-03-06,0,14.72,2.72,8.72,12,404.93,742.67,downstream
1998-03-07,3.95,13.12,1.29,7.205,11.829999999999998,304.22,670.38,downstream
1998-03-08,0,15.17,5.16,10.165,10.01,369.61,881.9,downstream
1998-03-09,0,19.23,4.07,11.65,15.16,432.67,816.83,downstream
1998-03-10,0,21.18,5.14,13.16,16.04,435.75,880.5,downstream
1998-03-11,0,23.07,8.36,15.715,14.71,419.92,1098.81,downstream
1998-03-12,3.49,19.7,9,14.35,10.7,274.78,1147.31,downstream
1998-03-13,2.75,17.69,10.57,14.13,7.120000000000001,207.17,1275.39,downstream
1998-03-14,0,22.57,8.76,15.665,13.81,413.75,1128.85,downstream
1998-03-15,0,22.4,9.24,15.82,13.159999999999998,405.31,1166.49,downstream
1998-03-16,0,21.65,11.71,16.68,9.939999999999998,343.98,1375.48,downstream
1998-03-17,0,21.89,8.57,15.23,13.32,411.64,1114.44,downstream
1998-03-18,0,23.46,9.07,16.265,14.39,422.2,1153.13,downstream
1998-03-19,0,22.32,7.73,15.025,14.59,429.52,1052.43,downstream
1998-03-20,0,20.27,10.33,15.3,9.94,348.72,1254.36,downstream
1998-03-21,2.39,18.93,11,14.965,7.93,220.96,1311.62,downstream
1998-03-22,1.14,21.28,12.35,16.815,8.930000000000001,321.99,1434.46,downstream
1998-03-23,9.97,21.44,11,16.22,10.440000000000001,270.97,1312.28,downstream
1998-03-24,7.46,21.47,11.22,16.345,10.249999999999998,268.79,1331.46,downstream
1998-03-25,7.27,20.07,10.03,15.05,10.040000000000001,268.31,1229.68,downstream
1998-03-26,0,19.62,9.1,14.36,10.520000000000001,373.36,1155.02,downstream
1998-03-27,1.66,16.73,9.24,12.985,7.49,292.97,1166.51,downstream
1998-03-28,1.97,15.12,4.27,9.695,10.85,394.84,828.34,downstream
1998-03-29,0,17.1,3.03,10.065000000000001,14.070000000000002,455.48,758.92,downstream
1998-03-30,5.2,18.46,4.23,11.345,14.23,340.71,826.15,downstream
1998-03-31,7.39,13.58,7.56,10.57,6.0200000000000005,186.47,1040.4,downstream
1998-04-01,0,15.99,6.51,11.25,9.48,365.43,968.18,downstream
1998-04-02,5.08,15.36,7.7,11.53,7.659999999999999,234.06,1050.25,downstream
1998-04-03,9.27,14.15,7.45,10.8,6.7,212.67,1032.75,downstream
1998-04-04,5.42,15.19,7.23,11.21,7.959999999999999,246.21,1017.09,downstream
1998-04-05,0,17.09,6.84,11.965,10.25,396.95,990.48,downstream
1998-04-06,2.67,15.84,7.97,11.905,7.87,248.22,1069.82,downstream
1998-04-07,0,16.15,5.93,11.04,10.219999999999999,404.63,930.22,downstream
1998-04-08,0.51,17.65,5.35,11.5,12.299999999999999,454.12,893.73,downstream
