date,agency_cd,site_no,water_year,flow,flow_cd,flow_11447905,group,flow_modeled,flow_impute,flow_for_gam_step1,flow_for_gam_step2,flow_for_gam_final
1999-02-17,USGS,11455420,1999,76900,A,27600,measure,61984,76900,76900,76900,76900
1999-02-18,USGS,11455420,1999,79800,A,30500,measure,68517,79800,79800,79800,79800
1999-02-19,USGS,11455420,1999,83500,A,31000,measure,69643,83500,83500,83500,83500
1999-02-20,USGS,11455420,1999,94400,A,30100,measure,67616,94400,94400,94400,94400
1999-02-21,USGS,11455420,1999,104000,A,29600,measure,66489,104000,104000,104000,104000
1999-02-22,USGS,11455420,1999,106000,A,29100,measure,65363,106000,106000,106000,106000
1999-02-23,USGS,11455420,1999,102000,A,28300,measure,63561,102000,102000,102000,102000
1999-02-24,USGS,11455420,1999,96500,A,27400,measure,61534,96500,96500,96500,96500
1999-02-25,USGS,11455420,1999,90300,A,26900,measure,60408,90300,90300,90300,90300
1999-02-26,USGS,11455420,1999,83500,A,26500,measure,59507,83500,83500,83500,83500
1999-02-27,USGS,11455420,1999,78900,A,26200,measure,58831,78900,78900,78900,78900
1999-02-28,USGS,11455420,1999,75100,A,26100,measure,58606,75100,75100,75100,75100
1999-03-01,USGS,11455420,1999,72200,A,26200,measure,58831,72200,72200,72200,72200
1999-03-02,USGS,11455420,1999,71900,A,26600,measure,59732,71900,71900,71900,71900
1999-03-03,USGS,11455420,1999,74600,A,27000,measure,60633,74600,74600,74600,74600
1999-03-04,USGS,11455420,1999,78400,A,27100,measure,60858,78400,78400,78400,78400
1999-03-05,USGS,11455420,1999,80200,A,27100,measure,60858,80200,80200,80200,80200
1999-03-06,USGS,11455420,1999,79700,A,27000,measure,60633,79700,79700,79700,79700
1999-03-07,USGS,11455420,1999,80000,A,26700,measure,59957,80000,80000,80000,80000
1999-03-08,USGS,11455420,1999,80100,A,26300,measure,59056,80100,80100,80100,80100
1999-03-09,USGS,11455420,1999,78300,A,26000,measure,58380,78300,78300,78300,78300
1999-03-10,USGS,11455420,1999,73000,A,25600,measure,57479,73000,73000,73000,73000
1999-03-11,USGS,11455420,1999,67800,A,25200,measure,56578,67800,67800,67800,67800
1999-03-12,USGS,11455420,1999,65400,A,24900,measure,55903,65400,65400,65400,65400
1999-03-13,USGS,11455420,1999,63200,A,24600,measure,55227,63200,63200,63200,63200
1999-03-14,USGS,11455420,1999,61100,A,24200,measure,54326,61100,61100,61100,61100
1999-03-15,USGS,11455420,1999,60700,A,23700,measure,53200,60700,60700,60700,60700
1999-03-16,USGS,11455420,1999,58800,A,22800,measure,51172,58800,58800,58800,58800
1999-03-17,USGS,11455420,1999,53300,A,21700,measure,48695,53300,53300,53300,53300
1999-03-18,USGS,11455420,1999,48300,A,20400,measure,45766,48300,48300,48300,48300
1999-03-19,USGS,11455420,1999,45800,A,19200,measure,43063,45800,45800,45800,45800
1999-03-20,USGS,11455420,1999,45200,A,18400,measure,41261,45200,45200,45200,45200
1999-03-21,USGS,11455420,1999,41100,A,17400,measure,39009,41100,41100,41100,41100
1999-03-22,USGS,11455420,1999,38300,A,16400,measure,36756,38300,38300,38300,38300
1999-03-23,USGS,11455420,1999,36400,A,15500,measure,34729,36400,36400,36400,36400
1999-03-24,USGS,11455420,1999,33700,A,14400,measure,32251,33700,33700,33700,33700
1999-03-25,USGS,11455420,1999,33900,A,13800,measure,30900,33900,33900,33900,33900
1999-03-26,USGS,11455420,1999,36000,A,14500,measure,32477,36000,36000,36000,36000
1999-03-27,USGS,11455420,1999,39500,A,16300,measure,36531,39500,39500,39500,39500
1999-03-28,USGS,11455420,1999,40500,A,17200,measure,38558,40500,40500,40500,40500
1999-03-29,USGS,11455420,1999,40400,A,17100,measure,38333,40400,40400,40400,40400
1999-03-30,USGS,11455420,1999,38900,A,16500,measure,36982,38900,38900,38900,38900
1999-03-31,USGS,11455420,1999,38300,A,15500,measure,34729,38300,38300,38300,38300
1999-04-01,USGS,11455420,1999,33700,A,14200,measure,31801,33700,33700,33700,33700
1999-04-02,USGS,11455420,1999,28200,A,13000,measure,29098,28200,28200,28200,28200
1999-04-03,USGS,11455420,1999,25600,A,12200,measure,27296,25600,25600,25600,25600
1999-04-04,USGS,11455420,1999,24600,A,11600,measure,25944,24600,24600,24600,24600
1999-04-05,USGS,11455420,1999,27900,A,11200,measure,25043,27900,27900,27900,27900
1999-04-06,USGS,11455420,1999,28600,A,11100,measure,24818,28600,28600,28600,28600
1999-04-07,USGS,11455420,1999,28200,A,10900,measure,24368,28200,28200,28200,28200
1999-04-08,USGS,11455420,1999,28700,A,11000,measure,24593,28700,28700,28700,28700
1999-04-09,USGS,11455420,1999,30200,A,11300,measure,25269,30200,30200,30200,30200
1999-04-10,USGS,11455420,1999,26200,A,11300,measure,25269,26200,26200,26200,26200
1999-04-11,USGS,11455420,1999,26700,A,11600,measure,25944,26700,26700,26700,26700
1999-04-12,USGS,11455420,1999,27800,A,12200,measure,27296,27800,27800,27800,27800
1999-04-13,USGS,11455420,1999,30100,A,13400,measure,29999,30100,30100,30100,30100
1999-04-14,USGS,11455420,1999,31200,A,14300,measure,32026,31200,31200,31200,31200
1999-04-15,USGS,11455420,1999,31000,A,14200,measure,31801,31000,31000,31000,31000
1999-04-16,USGS,11455420,1999,31300,A,13900,measure,31125,31300,31300,31300,31300
