doy1998,date,Q_upstream,Q_downstream,inundation,inund_days,inund_factor,Q_yolo,WTmwk_downstream,WTmwk_upstream,WTmwk_yolo,sradmwk_downstream,sradmwk_upstream,sradmwk_yolo
413,1999-02-17,59600,76900,1,9,short,6486,10.4291666666667,8.71,9.92,200.14,255.14,195.71
414,1999-02-18,62300,79800,1,10,short,20840,10.4291666666667,8.804583333333335,10.204791666666651,195.095,219.665,221.91000000000003
415,1999-02-19,63000,83500,1,11,short,29240,10.4214285714286,8.853194444444446,10.095416666666656,242.56666666666666,261.04,262.79333333333335
416,1999-02-20,63000,94400,1,12,short,31345,10.416626984127,8.895000000000003,9.963229166666661,238.8425,244.0925,249.7975
417,1999-02-21,63300,104000,1,13,short,31550,10.41561341525858,8.883166666666668,9.852666666666662,254.388,253.358,245.958
418,1999-02-22,63600,106000,1,14,short,33150,10.416703860158167,8.906458333333335,9.861111111111107,263.575,258.3183333333333,254.975
419,1999-02-23,62800,102000,1,15,short,30350,10.418451452689,8.965059523809526,9.949107142857134,275.09142857142854,270.7442857142857,268.38142857142856
420,1999-02-24,61300,96500,1,16,short,23844,10.416665738403285,9.112380952380954,10.049107142857135,280.5128571428571,265.4014285714286,273.73571428571427
421,1999-02-25,60300,90300,1,17,short,18740,10.420237166974713,9.248214285714287,10.043749999999992,292.8342857142857,270.3757142857143,268.6328571428571
422,1999-02-26,59900,83500,1,18,short,16440,10.400339207791042,9.364702380952382,10.105833333333324,296.46714285714285,272.26714285714286,270.79
423,1999-02-27,59500,78900,1,19,short,14440,10.392878890330728,9.483214285714286,10.296488095238086,316.71714285714285,293.4971428571429,291.9371428571429
424,1999-02-28,59300,75100,1,20,short,12540,10.432894251313842,9.650952380952381,10.624464285714275,317.39285714285717,283.8442857142857,302.98571428571427
425,1999-03-01,60100,72200,1,21,short,12747,10.526752905886786,9.804047619047614,10.980952380952372,323.5257142857143,291.6842857142857,309.9742857142857
426,1999-03-02,61100,71900,1,22,long,16350,10.648809523809543,9.95023809523809,11.300892857142857,330.8857142857143,285.4814285714286,317.05
427,1999-03-03,61600,74600,1,23,long,18450,10.792857142857157,10.071369047619047,11.561547619047614,347.88142857142856,302.47714285714284,333.81142857142856
428,1999-03-04,62100,78400,1,24,long,20050,10.938095238095242,10.18196428571429,11.74994047619047,358.98,323.39142857142855,354.31142857142856
429,1999-03-05,62100,80200,1,25,long,19750,11.067857142857143,10.27142857142857,11.85208333333333,360.00857142857143,329.5957142857143,358.20142857142855
430,1999-03-06,62100,79700,1,26,long,19150,11.144047619047614,10.308273809523815,11.853392857142858,361.88142857142856,332.87,360.6614285714286
431,1999-03-07,61800,80000,1,27,long,17650,11.1345238095238,10.300654761904767,11.748869047619042,356.8357142857143,359.64714285714285,373.40714285714284
432,1999-03-08,61200,80100,1,28,long,15750,11.037499999999985,10.255892857142866,11.449642857142857,333.9342857142857,327.06857142857143,346.0414285714286
433,1999-03-09,61000,78300,1,29,long,14240,10.836904761904753,10.098928571428582,11.014226190476185,326.06714285714287,331.43,337.6542857142857
434,1999-03-10,60300,73000,1,30,long,12550,10.585119047619038,9.905476190476195,10.648035714285713,330.6714285714286,334.18,341.5357142857143
435,1999-03-11,59700,67800,1,31,long,10245,10.351190476190471,9.706130952380953,10.405059523809529,336.2185714285714,340.9242857142857,348.09
436,1999-03-12,58800,65400,1,32,long,7500,10.189285714285715,9.548869047619053,10.322023809523815,344.0157142857143,346.39428571428573,354.3542857142857
437,1999-03-13,58000,63200,1,33,long,5137,10.117857142857144,9.469702380952382,10.365,345.13714285714286,352.1142857142857,357.72
438,1999-03-14,57100,61100,1,34,long,3670,10.114285714285714,9.470476190476191,10.513869047619057,350.33,330.62285714285713,342.27
439,1999-03-15,55600,60700,1,35,long,2575,10.1672619047619,9.537023809523804,10.756547619047629,374.3885714285714,370.9214285714286,373.8014285714286
440,1999-03-16,52600,58800,0,0,none,2963,10.316666666666661,9.69029761904762,11.123571428571443,378.5557142857143,374.58714285714285,376.33714285714285
441,1999-03-17,49000,53300,0,0,none,3584,10.539880952380948,9.87922619047619,11.522857142857157,379.4557142857143,376.91,378.2085714285714
442,1999-03-18,45300,48300,0,0,none,4020,10.775,10.12630952380952,12.047678571428586,372.38,366,368.35571428571427
443,1999-03-19,42000,45800,0,0,none,4047,10.999659863945572,10.399523809523805,12.515357142857157,353.9357142857143,338.9771428571429,338.67571428571426
444,1999-03-20,39400,45200,0,0,none,3630,11.199149994643529,10.670535714285704,12.8354761904762,351.01714285714286,332.9971428571429,320.64142857142855
445,1999-03-21,36600,41100,0,0,none,2600,11.405697613691142,10.8922619047619,12.9952380952381,359.24142857142857,349.3514285714286,332.82
446,1999-03-22,34100,38300,0,0,none,2230,11.597959518453058,11.079702380952385,13.252202380952387,364.46999999999997,348.9271428571428,335.52
447,1999-03-23,31600,36400,0,0,none,1963,11.784269042262585,11.259345238095243,13.492202380952385,347.8985714285714,342.38,331.3142857142857
448,1999-03-24,29100,33700,0,0,none,1587,11.933078566072114,11.408809523809529,13.675833333333342,324.9214285714286,318.6171428571429,306.24571428571426
449,1999-03-25,27800,33900,0,0,none,2518,12.071173804167342,11.488333333333342,13.738452380952385,325.51142857142855,322.4342857142857,296.25428571428574
450,1999-03-26,32100,36000,0,0,none,4870,12.201275844983671,11.505375258799186,13.812797619047629,339.9657142857143,348.86857142857144,323.8457142857143
451,1999-03-27,36500,39500,0,0,none,5250,12.29642857142857,11.506446687370614,13.967500000000014,348.5514285714286,359.35285714285715,346.99285714285713
452,1999-03-28,37600,40500,0,0,none,5087,12.341071428571428,11.523887163561085,14.163750000000014,360.4642857142857,373.6985714285714,360.7214285714286
453,1999-03-29,37000,40400,0,0,none,4820,12.3797619047619,11.589482401656314,14.146904761904771,364.45,383.1514285714286,367.13142857142856
454,1999-03-30,34800,38900,0,0,none,4565,12.431547619047615,11.6901966873706,14.15940476190477,387.2714285714286,383.5657142857143,365.01714285714286
455,1999-03-31,31400,38300,0,0,none,4375,12.449999999999987,11.753113354037271,14.064583333333342,411.74142857142857,414.24285714285713,378.34714285714284
456,1999-04-01,28000,33700,0,0,none,4189,12.416071428571415,11.775256211180128,13.833035714285728,429.4114285714286,430.15285714285716,408.1642857142857
457,1999-04-02,25700,28200,0,0,none,3347,12.345833333333314,11.806190476190471,13.620892857142872,432.5242857142857,431.28,408.99857142857144
458,1999-04-03,24000,25600,0,0,none,2555,12.268452380952372,11.8197619047619,13.356488095238115,424.2,416.45142857142855,398.64142857142855
459,1999-04-04,22800,24600,0,0,none,2045,12.153996598639457,11.811726190476186,13.063511904761928,404.04857142857145,413.1742857142857,393.9114285714286
460,1999-04-05,22000,27900,0,0,none,1645,12.011734693877557,11.676666666666671,12.5409523809524,378.28285714285715,377.85285714285715,364.82142857142856
461,1999-04-06,21700,28600,0,0,none,1815,11.803996598639458,11.503035714285714,12.088511904761914,377.1771428571429,392.04857142857145,378.19142857142856
462,1999-04-07,21600,28200,0,0,none,1555,11.6373299319728,11.333333333333329,11.744404761904772,356.9757142857143,386.8957142857143,387.7685714285714
463,1999-04-08,22200,28700,0,0,none,1548,11.47899659863947,11.2397619047619,11.754523809523814,329.2157142857143,357.6257142857143,358.60285714285715
464,1999-04-09,22600,30200,0,0,none,1715,11.363845083487957,11.199880952380957,11.696309523809528,337.0157142857143,364.8457142857143,367.4342857142857
465,1999-04-10,23200,26200,0,0,none,1717,11.3037260358689,11.160595238095242,11.652976190476185,328.6771428571429,360.5128571428572,359.65857142857146
