chlorophyll,WTmwk,Q_sday,inund_factor,region,water_year
3.3,10.836904761904751,78300,long,downstream,1999
3.7,10.189285714285717,65400,long,downstream,1999
2.95,11.37615283267457,27800,none,downstream,1999
1.2,9.374684649479187,14600,none,downstream,2000
1.3,9.013609508201236,10500,none,downstream,2000
2.1,8.476839826839825,8570,none,downstream,2000
1.5,10.364130434782616,30100,none,downstream,2000
1.78,10.965527950310571,79500,short,downstream,2000
1.7,11.253372234720672,110000,long,downstream,2000
2.69,11.671428571428583,82500,long,downstream,2000
3.3,14.690360999835471,21700,none,downstream,2000
3.51,16.500327028044413,22600,none,downstream,2000
1.75,10.235404448458755,8240,none,downstream,2001
1.4,10.363104195893143,8440,none,downstream,2001
1.21,8.539880952380951,6130,none,downstream,2001
1.24,8.036904761904763,9290,none,downstream,2001
1.9,8.232738095238096,11100,none,downstream,2001
1.8,9.8952380952381,31100,none,downstream,2001
2.29,13.856645717712528,16200,none,downstream,2001
2.4,16.07712344322094,12800,none,downstream,2001
2.81,14.321325051759842,7490,none,downstream,2001
3.7,15.832142857142856,7440,none,downstream,2001
1.61,9.72912280701754,21200,none,downstream,2002
1.37,11.109642857142855,65400,short,downstream,2002
5.9,8.317857142857141,23800,none,downstream,2002
1.86,7.810707227555054,13600,none,downstream,2002
1.14,12.233928571428557,18400,none,downstream,2002
5.7,11.223651891586655,16200,none,downstream,2002
6.02,16.38722083299723,14400,none,downstream,2002
12,16.80416666666667,13400,none,downstream,2002
2.3,11.282142857142857,12400,none,downstream,2003
2.13,11.147023809523814,8460,none,downstream,2003
0.9,9.260714285714286,54300,short,downstream,2003
0.94,9.865910804504177,36400,short,downstream,2003
1.48,9.841045548654233,21200,none,downstream,2003
2.3,10.307142857142855,37400,none,downstream,2003
3.79,13.017261904761916,10800,none,downstream,2003
4.07,14.725432900432915,12500,none,downstream,2003
1.7,10.797023809523814,30100,none,downstream,2004
1.32,10.334848484848486,27300,none,downstream,2004
1.2,8.536904761904763,44400,short,downstream,2004
1.48,9.528959627329192,22200,none,downstream,2004
1.8,9.098809523809525,24100,none,downstream,2004
1.38,10.291666666666671,50300,short,downstream,2004
5.1,11.5517857142857,78100,short,downstream,2004
6.84,15.391666666666673,35300,none,downstream,2004
3.3,15.6952380952381,28500,none,downstream,2004
3,15.005978260869572,18100,none,downstream,2004
2.1,9.907142857142862,18100,none,downstream,2005
0.19,10.720962732919272,11000,none,downstream,2005
0.62,10.720962732919272,11000,none,downstream,2005
1.1,8.579761904761906,38600,none,downstream,2005
1.05,7.9434523809523805,23700,none,downstream,2005
0.93,11.285455486542428,17100,none,downstream,2005
1.9,12.005952380952383,31300,none,downstream,2005
1.74,14.949404761904756,22800,none,downstream,2005
3.3,14.949404761904756,22800,none,downstream,2005
