latitude,longitude,station,region,data_type,station_name,agency-program,sampling frequency
38.53188,-121.528,SHR,mainstem,"chlorophyll,wtemp",Sacramento River at Sherwood Harbor,DWR-YBFMP,2 weeks
38.35338,-121.643,STTD,floodplain,"chlorophyll,wtemp",Screw Trap in Toe Drain,DWR-YBFMP,"2 weeks, daily during sampling season"
38.47482,-121.5886,LIS,floodplain,"chlorophyll,wtemp",Yolo Bypass Toe Drain Below Lisbon Weir,"DWR-YBFMP, DWR-NCRO",2 weeks
38.08453,-121.7391,D22,downstream,chlorophyll,Sacramento River at Emmaton/Three Mile Slough,USBR,monthly
38.14272,-121.6895,NZ068,downstream,chlorophyll,Sacramento River below Rio Vista Bridge near United States Coast Guard station,DWR-EMP,monthly
38.0889,-121.7425,16,downstream,chlorophyll,NA,USBR,monthly
38.1576,-121.6856,34,downstream,chlorophyll,Sacramento River at Rio Vista,USBR,monthly
38.105,-121.72,653,downstream,chlorophyll,Mid-Decker Island,USGS,monthly
38.151667,-121.688333,657,downstream,flow,Rio Vista,USGS,monthly
38.45601954,-121.5013437,USGS-11447650,mainstem,chlorophyll,Sacramento River at Freeport CA,USGS CAWSC,monthly
38.36513889,-121.6377417,USGS-11455139,floodplain,chlorophyll,Toe Drain at Mallard Rd nr Courtland CA,USGS CAWSC,monthly
38.093252,-121.7371772,USGS-11455478,downstream,chlorophyll,Sacramento R at Decker Island nr Rio Vista CA,USGS CAWSC,monthly
38.159203,-121.684543,RIV,downstream,wtemp,Rio Vista,USBR,hourly (binned to daily)
38.16,-121.686,SRV,downstream,wtemp,Sacramento River at Rio Vista,USGS,15-minute (binned to daily)
38.16,-121.686,USGS_11455420,downstream,flow,Sacramento River at Rio Vista,USGS,15-minute (binned to daily)
38.7743454,-121.5982925,USGS_11425500,mainstem,flow,Sacramento River at Verona,USGS SFO,15-minute (binned to daily)
38.6069444444,-121.5541666667,USGS_11426000,floodplain,flow,Sacramento Weir Spill to Yolo Bypass nr Sac CA,USGS SFO,15-minute (binned to daily)
38.6777777778,-121.6430555556,USGS_11453000,floodplain,flow,Yolo Bypass nr Woodland CA,USGS SFO,15-minute (binned to daily)
38.49278,-122.0019,USGS_11454210,floodplain,flow,Putah South CN near Winters,USGS,15-minute (binned to daily)
38.5445,-121.586639,AL1,floodplain,wtemp,Above Lisbon Weir 1,DWR-YBFMP,2 weeks
38.52806,-121.586639,AL2,floodplain,wtemp,Above Lisbon Weir 2,DWR-YBFMP,2 weeks
38.5185,-121.588623,AL3,floodplain,wtemp,Above Lisbon Weir 3,DWR-YBFMP,2 weeks
38.49439,-121.588583,AL4,floodplain,wtemp,Above Lisbon Weir 4,DWR-YBFMP,2 weeks
38.46681,-121.590851,BL1,floodplain,wtemp,Below Lisbon Weir 1,DWR-YBFMP,2 weeks
38.43189,-121.607053,BL2,floodplain,wtemp,Below Lisbon Weir 2,DWR-YBFMP,2 weeks
38.38939,-121.626278,BL3,floodplain,wtemp,Below Lisbon Weir 3,DWR-YBFMP,2 weeks
38.35496,-121.6422,BL4,floodplain,wtemp,Below Lisbon Weir 4,DWR-YBFMP,2 weeks
38.282465,-121.663182,BL6,floodplain,wtemp,Below Lisbon Weir 6,DWR-YBFMP,2 weeks
38.35561,-121.35257,CCS1,floodplain,wtemp,Cache Creek Sinks 1,DWR-YBFMP,2 weeks
38.3647,-121.35596,CCS2,floodplain,wtemp,Cache Creek Sinks 2,DWR-YBFMP,2 weeks
38.37192,-121.36291,CCS3,floodplain,wtemp,Cache Creek Sinks 3,DWR-YBFMP,2 weeks
38.38258,-121.37131,CCS4,floodplain,wtemp,Cache Creek Sinks 4,DWR-YBFMP,2 weeks
38.74979,-121.635232,FW1,floodplain,wtemp,Fremont Weir 1,DWR-YBFMP,2 weeks
38.47417,-121.588083,LIHF,floodplain,wtemp,Lisbon Weir - High Flow Site North,DWR-YBFMP,2 weeks
38.47355,-121.588364,LIHFS,floodplain,wtemp,Lisbon Weir - High Flow Site South,DWR-YBFMP,2 weeks
38.27428,-121.664178,BL5,floodplain,wtemp,Prospect Slough,DWR-YBFMP,2 weeks
38.466958,-121.590934,PCS,floodplain,wtemp,Putah Creek Sinks,DWR-YBFMP,daily during monitoring season
38.605219,-121.564176,SB1,floodplain,wtemp,Sacramento Bypass 1,DWR-YBFMP,2 weeks
38.604167,-121.56625,SB2,floodplain,wtemp,Sacramento Bypass 2,DWR-YBFMP,2 weeks
38.676367,-121.643972,RD22,floodplain,wtemp,Toe Drain at Road 22,DWR-YBFMP,2 weeks
38.56531,-121.638005,YBI80,floodplain,wtemp,Yolo Bypass West Side near I80,DWR-YBFMP,2 weeks
