geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
16	38.0889	38.0889	-121.7425	-121.7425
34	38.1576	38.1576	-121.6856	-121.6856
653	38.105	38.105	-121.72	-121.72
657	38.151667	38.151667	-121.688333	-121.688333
AL1	38.5445	38.5445	-121.586639	-121.586639
AL2	38.52806	38.52806	-121.586639	-121.586639
AL3	38.5185	38.5185	-121.588623	-121.588623
AL4	38.49439	38.49439	-121.588583	-121.588583
BL1	38.46681	38.46681	-121.590851	-121.590851
BL2	38.43189	38.43189	-121.607053	-121.607053
BL3	38.38939	38.38939	-121.626278	-121.626278
BL4	38.35496	38.35496	-121.6422	-121.6422
BL5	38.27428	38.27428	-121.664178	-121.664178
BL6	38.282465	38.282465	-121.663182	-121.663182
D22	38.08453	38.08453	-121.7391	-121.7391
EZ2	38.0954010714286	38.0954010714286	-121.740700916667	-121.740700916667
FW1	38.74979	38.74979	-121.635232	-121.635232
LIHF	38.47417	38.47417	-121.588083	-121.588083
LIHFS	38.47355	38.47355	-121.588364	-121.588364
LIS	38.47482	38.47482	-121.5886	-121.5886
NZ068	38.14272	38.14272	-121.6895	-121.6895
PCS	38.466958	38.466958	-121.590934	-121.590934
RD22	38.676367	38.676367	-121.643972	-121.643972
RIV	38.159203	38.159203	-121.684543	-121.684543
SB1	38.605219	38.605219	-121.564176	-121.564176
SB2	38.604167	38.604167	-121.56625	-121.56625
SHR	38.53188	38.53188	-121.528	-121.528
SRV	38.16	38.16	-121.686	-121.686
STTD	38.35338	38.35338	-121.643	-121.643
USGS-11447650	38.45601954	38.45601954	-121.5013437	-121.5013437
USGS-11455139	38.36513889	38.36513889	-121.6377417	-121.6377417
USGS-11455478	38.093252	38.093252	-121.7371772	-121.7371772
USGS_11425500	38.7743454	38.7743454	-121.5982925	-121.5982925
USGS_11426000	38.6069444444	38.6069444444	-121.5541666667	-121.5541666667
USGS_11453000	38.6777777778	38.6777777778	-121.6430555556	-121.6430555556
USGS_11454210	38.49278	38.49278	-122.0019	-122.0019
USGS_11455420	38.16	38.16	-121.686	-121.686
YBI80	38.56531	38.56531	-121.638005	-121.638005
