"Station","Latitude","Longitude","Datetime","Notes","SampleCode","Chlorophyll","Pheophytin","DissAmmonia_Sign","DissAmmonia","DissCalcium","DissChloride","DissNitrateNitrite_Sign","DissNitrateNitrite","DOC","TOC","DON","DissOrthophos_Sign","DissOrthophos","TotPhos","DissSilica","TDS","TSS","VSS","TKN","Year","WY","Month"
"LIS",38.474816,-121.588584,2012-08-31 15:30:00,NA,"ESH0812B0037",10.5,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,2012,"8"
"LIS",38.474816,-121.588584,2012-09-04 18:00:00,NA,"ESF0912B0004",6.51,2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,2012,"9"
"LIS",38.474816,-121.588584,2012-09-07 09:55:00,NA,"ESF0912B0033",4.36,2.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,2012,"9"
"LIS",38.474816,-121.588584,2012-09-11 10:30:00,NA,"ESF0912B0045",5.02,2.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,2012,"9"
"LIS",38.474816,-121.588584,2012-09-14 09:25:00,NA,"ESF0912B0069",6.09,2.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,2012,"9"
"LIS",38.474816,-121.588584,2012-09-17 10:47:00,NA,"ESF0912B0081",7.69,2.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,2012,"9"
"LIS",38.474816,-121.588584,2012-09-25 11:15:00,NA,"ESH0912B0047",19.6,4.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,2012,"9"
"LIS",38.474816,-121.588584,2013-03-06 13:10:00,NA,"ESH0313B0057",24.99,5.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"3"
"LIS",38.474816,-121.588584,2013-03-13 12:53:00,NA,"ESH0313B0063",33.96,4.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"3"
"LIS",38.474816,-121.588584,2013-03-20 13:28:00,NA,"ESH0313B0069",44.11,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"3"
"LIS",38.474816,-121.588584,2013-04-03 11:45:00,NA,"ESH0413B0075",11.75,6.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"4"
"LIS",38.474816,-121.588584,2013-04-15 11:45:00,NA,"ESH0413B0081",15.91,5.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"4"
"LIS",38.474816,-121.588584,2013-04-29 11:55:00,NA,"ESH0413B0093",28.09,12.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"4"
"LIS",38.474816,-121.588584,2013-05-14 11:31:00,NA,"ESH0513B0099",35.67,20.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"5"
"LIS",38.474816,-121.588584,2013-05-31 11:25:00,NA,"ESH0513B0105",25.85,5.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"5"
"LIS",38.474816,-121.588584,2013-06-11 14:30:00,NA,"ESH0613B0117",30.65,10.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"6"
"LIS",38.474816,-121.588584,2013-06-25 16:10:00,NA,"ESH0613B0131",10.89,7.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"6"
"LIS",38.474816,-121.588584,2013-07-11 12:50:00,NA,"ESH0713B0138",23.92,7.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"7"
"LIS",38.474816,-121.588584,2013-07-25 10:40:00,NA,"ESH0713B0166",16.45,4.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"7"
"LIS",38.474816,-121.588584,2013-07-31 14:15:00,NA,"EA0713B1258",14.52,5.14,"<",0.01,16,16,"=",0.1,3.9,4.8,0.5,"=",0.13,0.2,19.2,168,NA,NA,0.7,2013,2013,"7"
"LIS",38.474816,-121.588584,2013-07-31 14:15:00,"Less volume was filtered due to high amount of suspended solids in sample.","EA0713B1258",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,7,NA,2013,2013,"7"
"LIS",38.474816,-121.588584,2013-08-06 12:04:00,NA,"EA0813B1326",17.52,4.84,"=",0.01,13,11,"=",0.07,3.2,4.2,0.9,"=",0.13,0.2,19.9,142,NA,NA,0.9,2013,2013,"8"
"LIS",38.474816,-121.588584,2013-08-06 12:04:00,"Lesser volume used due to great amount of suspended solids in sample.","EA0813B1326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,12,NA,2013,2013,"8"
"LIS",38.474816,-121.588584,2013-08-15 13:55:00,NA,"EA0813B1511",22.86,3.61,NA,NA,18,19,NA,NA,3.8,4,0.4,NA,NA,0.14,19.1,199,74,10,0.5,2013,2013,"8"
"LIS",38.474816,-121.588584,2013-08-23 11:10:00,NA,"ESH0813B0214",9.65,2.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"8"
"LIS",38.474816,-121.588584,2013-08-26 11:33:00,NA,"EA0813B1638",10.42,4.41,"=",0.02,23,30,"=",0.05,4.8,5.2,0.2,"=",0.12,0.16,19.5,277,30,3,0.6,2013,2013,"8"
"LIS",38.474816,-121.588584,2013-09-05 11:54:00,NA,"EA0913B1798",17.52,5.21,NA,NA,45,85,"=",0.32,6.9,7.5,0.4,"=",0.31,0.39,26.1,523,40,5,0.7,2013,2013,"9"
"LIS",38.474816,-121.588584,2013-09-12 13:49:00,NA,"EA0913B1929",37.59,6.37,"=",0.03,43,88,"=",0.56,NA,NA,0.6,"=",0.33,0.42,27.4,522,49,7,0.8,2013,2013,"9"
"LIS",38.474816,-121.588584,2013-09-17 11:49:00,NA,"EA0913B2054",22.86,5.85,"=",0.03,44,91,"=",0.87,7.4,7.8,0.6,"=",0.4,0.4,27.8,546,45,7,0.8,2013,2013,"9"
"LIS",38.474816,-121.588584,2013-09-23 13:10:00,NA,"EA0913B2140",19.01,3.42,"=",0.04,44,94,"=",0.84,7.1,7.4,0.7,"=",0.3,0.44,25.9,559,34,5,1,2013,2013,"9"
"LIS",38.474816,-121.588584,2013-09-26 12:20:00,NA,"EA0913B2230",17.17,4.84,"=",0.03,38,59,"=",0.43,5.1,5.6,0.4,"=",0.17,0.18,23.3,426,48,5,0.7,2013,2013,"9"
"LIS",38.474816,-121.588584,2013-10-01 13:30:00,NA,"EA1013B2358",11.11,5.04,"=",0.02,35,46,"=",0.44,4.9,5.2,0.4,"=",0.15,0.18,21.2,378,38,3,0.7,2013,2014,"10"
"LIS",38.474816,-121.588584,2013-10-03 09:17:00,NA,"ES1013B0172",11.53,8.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2014,"10"
"LIS",38.474816,-121.588584,2013-10-04 13:27:00,NA,"ES1013B0169",19.48,7.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2014,"10"
"LIS",38.474816,-121.588584,2013-10-08 13:18:00,NA,"ES1013B0186",14.31,4.38,"=",0.01,27,48,"=",0.1,4.4,4.6,0.3,"=",0.16,0.18,18.5,327,43,5,0.6,2013,2014,"10"
"LIS",38.474816,-121.588584,2013-10-15 12:16:00,NA,"ES1013B0242",16.66,4.27,"=",0.01,23,35,"=",0.09,4,4.2,0.3,"=",0.12,0.17,18.3,271,45,9,0.7,2013,2014,"10"
"LIS",38.474816,-121.588584,2013-10-22 00:32:00,NA,"ES1013B0293",13.24,2.76,"=",0.01,17,22,"=",0.15,3,3.2,0.3,"=",0.1,0.15,17.1,178,39,4,0.6,2013,2014,"10"
"LIS",38.474816,-121.588584,2013-10-22 09:51:00,NA,"ES1013B0309",35.88,6.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2014,"10"
"LIS",38.474816,-121.588584,2013-10-30 10:24:00,NA,"ES1013B0421",9.72,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2014,"10"
"LIS",38.474816,-121.588584,2013-11-05 09:40:00,"Sample  ES1113B0344 was originally batched with Batch: 37596.","ES1113B0344",6.02,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2014,"11"
"LIS",38.474816,-121.588584,2013-11-05 09:40:00,NA,"ES1113B0344",NA,NA,"=",0.03,17,22,"=",0.2,3,3.3,0.2,"=",0.11,0.2,17.1,188,54,5,0.5,2013,2014,"11"
"LIS",38.474816,-121.588584,2013-11-12 11:40:00,NA,"ES1113B0437",8.1,1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2014,"11"
"LIS",38.474816,-121.588584,2013-11-19 10:50:00,NA,"ES1113B0441",4.27,1.84,"=",0.03,18,23,"=",0.21,2.8,2.9,0.3,"=",0.1,0.19,15.4,188,40,3,0.6,2013,2014,"11"
"LIS",38.474816,-121.588584,2013-12-03 14:05:00,NA,"ES1213B0444",5.75,2.81,"=",0.02,23,36,"=",0.19,8.5,6.5,0.4,"=",0.1,0.21,14.9,269,39,6,0.7,2013,2014,"12"
"LIS",38.474816,-121.588584,2013-12-17 12:44:00,NA,"ES1213B0480",6.75,0.97,"=",0.04,25,32,"=",0.72,5.7,6,0.5,"=",0.18,0.25,15.9,307,12,2,0.7,2013,2014,"12"
"LIS",38.474816,-121.588584,2014-01-02 11:50:00,NA,"ES0114B0003",8.76,3.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,"1"
"LIS",38.474816,-121.588584,2014-01-08 11:39:00,NA,"ES0114B0007",6.47,2.98,"=",0.07,36,60,"=",0.99,8.3,8.4,0.8,"=",0.23,0.35,18.2,481,25,4,1.1,2014,2014,"1"
"LIS",38.474816,-121.588584,2014-01-15 09:30:00,NA,"ES0114B0012",7.28,3.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,"1"
"LIS",38.474816,-121.588584,2014-01-21 15:50:00,NA,"ES0114B0016",9.08,4.01,"=",0.32,40,71,"=",0.92,8.9,9.3,0.9,"=",0.27,0.47,20.9,512,19,2,1.6,2014,2014,"1"
"LIS",38.474816,-121.588584,2014-01-29 13:19:00,NA,"ES0114B0021",11.11,5.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,"1"
"LIS",38.474816,-121.588584,2014-02-04 11:23:00,NA,"ES0214B0030",8.97,3.89,"=",0.31,45,76,"=",0.38,9.3,9.9,0.1,"=",0.29,0.43,19.7,574,11,2,1.4,2014,2014,"2"
"LIS",38.474816,-121.588584,2014-02-12 13:34:00,NA,"ES0214B0035",11.96,7.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,"2"
"LIS",38.474816,-121.588584,2014-02-18 13:00:00,NA,"ES0214B0051",9.16,4.31,"=",0.15,37,48,"=",1.05,9.3,10.1,1,"=",0.28,0.47,19.9,489,66,9,1.6,2014,2014,"2"
"LIS",38.474816,-121.588584,2014-02-24 14:20:00,NA,"ES0214B0071",14.31,3.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,"2"
"LIS",38.474816,-121.588584,2014-03-06 11:57:00,NA,"ES0314B0080",13.24,4.7,"=",0.09,34,58,"=",0.84,8.9,9.4,0.9,"=",0.24,0.42,14.9,498,55,10,1.4,2014,2014,"3"
"LIS",38.474816,-121.588584,2014-03-12 12:07:00,NA,"ES0314B0095",14.95,5.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,"3"
"LIS",38.474816,-121.588584,2014-03-18 13:16:00,NA,"ES0314B0099",9.83,10.21,"=",0.05,41,74,"=",0.75,11.2,11.9,0.8,"=",0.3,0.57,14.4,578,68,9,1.5,2014,2014,"3"
"LIS",38.474816,-121.588584,2014-03-25 15:39:00,NA,"ES0314B0104",13.67,4.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,"3"
"LIS",38.474816,-121.588584,2014-04-07 10:35:00,NA,"ES0414B0118",5.66,4.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,"4"
