organization_identifier,organization_formal_name,activity_identifier,activity_type_code,activity_media_name,activity_media_subdivision_name,activity_start_date,activity_start_time_time,activity_start_time_time_zone_code,activity_end_date,activity_end_time_time,activity_end_time_time_zone_code,activity_depth_height_measure_measure_value,activity_depth_height_measure_measure_unit_code,activity_depth_altitude_reference_point_text,activity_top_depth_height_measure_measure_value,activity_top_depth_height_measure_measure_unit_code,activity_bottom_depth_height_measure_measure_value,activity_bottom_depth_height_measure_measure_unit_code,project_identifier,activity_conducting_organization_text,monitoring_location_identifier,activity_comment_text,sample_aquifer,hydrologic_condition,hydrologic_event,sample_collection_method_method_identifier,sample_collection_method_method_identifier_context,sample_collection_method_method_name,sample_collection_equipment_name,result_detection_condition_text,characteristic_name,result_sample_fraction_text,result_measure_value,result_measure_measure_unit_code,measure_qualifier_code,result_status_identifier,statistical_base_code,result_value_type_name,result_weight_basis_text,result_time_basis_text,result_temperature_basis_text,result_particle_size_basis_text,precision_value,result_comment_text,usgsp_code,result_depth_height_measure_measure_value,result_depth_height_measure_measure_unit_code,result_depth_altitude_reference_point_text,subject_taxonomic_name,sample_tissue_anatomy_name,result_analytical_method_method_identifier,result_analytical_method_method_identifier_context,result_analytical_method_method_name,method_description_text,laboratory_name,analysis_start_date,result_laboratory_comment_text,detection_quantitation_limit_type_name,detection_quantitation_limit_measure_measure_value,detection_quantitation_limit_measure_measure_unit_code,preparation_start_date,provider_name,activity_start_date_time,activity_end_date_time
USGS-CA,USGS California Water Science Center,nwisca.01.01906210,Sample-Routine,Water,Surface Water,2019-07-30,11:40:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,gr24020,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Chlorophyll a,NA,1.93,ug/l,NA,Preliminary,mean,Actual,NA,NA,NA,NA,0.131,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS Biogeochemistry Lab, Menlo Park, CA",NA,NA,NA,NA,NA,NA,NWIS,2019-07-30T18:40:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01906781,Sample-Routine,Water,Surface Water,2019-09-05,11:45:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,gr24111,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,1.05,ug/l,NA,Preliminary,mean,Actual,NA,NA,NA,NA,0.026,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS Biogeochemistry Lab, Menlo Park, CA",NA,NA,NA,NA,NA,NA,NWIS,2019-09-05T18:45:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01600572,Sample-Routine,Water,Surface Water,2015-12-08,12:45:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455350,L-3510003 X=no sta id on sample,NA,"Stable, normal stage",Routine sample,50.00,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,1.9,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2015-12-22,NA,Lower Reporting Limit,0.1,ug/l,2015-12-22,NWIS,2015-12-08T20:45:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01600602,Sample-Routine,Water,Surface Water,2015-12-17,10:30:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,L-3570002 X=no station id on sample  X=station id not noted on btls,NA,"Stable, normal stage",Routine sample,50.00,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,3,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2015-12-30,NA,Lower Reporting Limit,0.1,ug/l,2015-12-30,NWIS,2015-12-17T18:30:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01700495,Sample-Routine,Water,Surface Water,2016-11-14,12:30:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,L-3220009 X=station id on container,NA,"Stable, normal stage",Routine sample,50.00,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,1.2,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-12-01,NA,Lower Reporting Limit,0.1,ug/l,2016-12-01,NWIS,2016-11-14T20:30:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01606380,Sample-Routine,Water,Surface Water,2016-09-20,10:00:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455350,"""L-2720007 Received Sep 27, 2016. Changed Station ID to current per S. Gosselink. JPC 1/20/17""",NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,1.3,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,The holding time for the processing of this sample has been exceeded,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-10-26,holding time exceededsee result comment,Lower Reporting Limit,0.1,ug/l,2016-10-26,NWIS,2016-09-20T18:00:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01700490,Sample-Routine,Water,Surface Water,2016-11-09,12:00:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455350,NA,NA,"Stable, normal stage",Routine sample,50.00,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,1,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-12-01,NA,Lower Reporting Limit,0.1,ug/l,2016-12-01,NWIS,2016-11-09T20:00:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01602590,Sample-Routine,Water,Surface Water,2016-03-22,11:45:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,A-0900006 vol = 150 mL,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,4.4,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,Value or metadata reloaded per NWQL Rapi-Note 16-19,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-04-08,see result comment,Lower Reporting Limit,0.1,ug/l,2016-04-08,NWIS,2016-03-22T19:45:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01602025,Sample-Routine,Water,Surface Water,2016-03-08,12:30:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455350,A-0760002 Volume filtered = 150 mL,NA,"Stable, normal stage",Routine sample,50.00,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,5,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-04-01,NA,Lower Reporting Limit,0.1,ug/l,2016-04-01,NWIS,2016-03-08T20:30:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01605496,Sample-Routine,Water,Surface Water,2016-07-12,10:00:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455350,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Chlorophyll a,NA,3.3,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-08-05,NA,Lower Reporting Limit,0.1,ug/l,2016-08-05,NWIS,2016-07-12T18:00:00Z,NA
