organization_identifier,organization_formal_name,activity_identifier,activity_type_code,activity_media_name,activity_media_subdivision_name,activity_start_date,activity_start_time_time,activity_start_time_time_zone_code,activity_end_date,activity_end_time_time,activity_end_time_time_zone_code,activity_depth_height_measure_measure_value,activity_depth_height_measure_measure_unit_code,activity_depth_altitude_reference_point_text,activity_top_depth_height_measure_measure_value,activity_top_depth_height_measure_measure_unit_code,activity_bottom_depth_height_measure_measure_value,activity_bottom_depth_height_measure_measure_unit_code,project_identifier,activity_conducting_organization_text,monitoring_location_identifier,activity_comment_text,sample_aquifer,hydrologic_condition,hydrologic_event,sample_collection_method_method_identifier,sample_collection_method_method_identifier_context,sample_collection_method_method_name,sample_collection_equipment_name,result_detection_condition_text,characteristic_name,result_sample_fraction_text,result_measure_value,result_measure_measure_unit_code,measure_qualifier_code,result_status_identifier,statistical_base_code,result_value_type_name,result_weight_basis_text,result_time_basis_text,result_temperature_basis_text,result_particle_size_basis_text,precision_value,result_comment_text,usgsp_code,result_depth_height_measure_measure_value,result_depth_height_measure_measure_unit_code,result_depth_altitude_reference_point_text,subject_taxonomic_name,sample_tissue_anatomy_name,result_analytical_method_method_identifier,result_analytical_method_method_identifier_context,result_analytical_method_method_name,method_description_text,laboratory_name,analysis_start_date,result_laboratory_comment_text,detection_quantitation_limit_type_name,detection_quantitation_limit_measure_measure_value,detection_quantitation_limit_measure_measure_unit_code,preparation_start_date,provider_name,activity_start_date_time,activity_end_date_time
USGS-CA,USGS California Water Science Center,nwisca.01.98701473,Sample-Routine,Water,Surface Water,1987-08-20,11:00:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Ammonia and ammonium,Dissolved,NA,NA,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,00608,NA,NA,NA,NA,NA,CL035,USGS,"Ammonia, wf, ASF salicylate","USGS OF 93-125, p 125",NA,NA,NA,Historical Lower Reporting Limit,0.01,mg/l as N,NA,NWIS,1987-08-20T18:00:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.99800020,Sample-Routine,Water,Surface Water,1997-10-23,11:00:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Orthophosphate,Dissolved,0.02,mg/l as P,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,00671,NA,NA,NA,NA,NA,CL053,USGS,"Nutrients, wf, phosphomolybdate","USGS OF 93-125, p 197",NA,NA,NA,NA,NA,NA,NA,NWIS,1997-10-23T18:00:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.99800020,Sample-Routine,Water,Surface Water,1997-10-23,11:00:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Nitrite,Dissolved,NA,NA,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,00613,NA,NA,NA,NA,NA,CL041,USGS,"Nutrients, wf, colorimetric","USGS OF 93-125, p 143",NA,NA,NA,Historical Lower Reporting Limit,0.01,mg/l as N,NA,NWIS,1997-10-23T18:00:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.00901328,Sample-Routine,Water,Surface Water,2009-08-26,11:30:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS - California Water Science Center,USGS-11447650,"A-2390245 50mL passed through each TPCN filter, Total 150mL",NA,"Stable, normal stage",Routine sample,40.00,USGS parameter code 82398,Multiple verticals,US D-96 bag sampler,NA,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Dissolved,0.1,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,62854,NA,NA,NA,NA,NA,CL063,USGS,"Nutrients, wf, FCC,persulfate,CF",USGS WRI 03-4174,"USGS-National Water Quality Lab, Denver, CO",2009-10-01,NA,Laboratory Reporting Level,0.1,mg/l,NA,NWIS,2009-08-26T18:30:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.00401193,Sample-Routine,Water,Surface Water,2004-04-23,13:20:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, normal stage",Routine sample,20.00,USGS parameter code 82398,Equal discharge increment (edi),"Sampler, US D-77",Not Detected,Nitrite,Dissolved,NA,NA,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00613,NA,NA,NA,NA,NA,CL041,USGS,"Nutrients, wf, colorimetric","USGS OF 93-125, p 143",NA,2004-05-11,NA,Laboratory Reporting Level,0.008,mg/l as N,NA,NWIS,2004-04-23T20:20:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.00501103,Sample-Routine,Water,Surface Water,2005-05-11,11:30:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11447650,"L-1360069 Received May 13,2005",NA,"Stable, normal stage",Routine sample,40.00,USGS parameter code 82398,Multiple verticals,US D-77 TM,Not Detected,Nitrite,Dissolved,NA,NA,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00613,NA,NA,NA,NA,NA,CL041,USGS,"Nutrients, wf, colorimetric","USGS OF 93-125, p 143",NA,2005-05-19,NA,Laboratory Reporting Level,0.008,mg/l as N,NA,NWIS,2005-05-11T18:30:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.98801020,Sample-Routine,Water,Surface Water,1988-05-10,11:15:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Orthophosphate,Dissolved,0.02,mg/l as P,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,00671,NA,NA,NA,NA,NA,CL054,USGS,"Ortho-PO4, wf, ASF phosphomolybd","USGS OF 93-125, p 197",NA,NA,NA,NA,NA,NA,NA,NWIS,1988-05-10T18:15:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.00901328,Sample-Routine,Water,Surface Water,2009-08-26,11:30:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS - California Water Science Center,USGS-11447650,"A-2390245 50mL passed through each TPCN filter, Total 150mL",NA,"Stable, normal stage",Routine sample,40.00,USGS parameter code 82398,Multiple verticals,US D-96 bag sampler,NA,Orthophosphate,Dissolved,0.023,mg/l as P,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00671,NA,NA,NA,NA,NA,PHM01,USGS,"Ortho-PO4, wf, DA phos/mol(NWQL)","Anal Chim Acta, 1962, v 27, p 31-36","USGS-National Water Quality Lab, Denver, CO",2009-09-17,NA,Laboratory Reporting Level,0.008,mg/l as P,NA,NWIS,2009-08-26T18:30:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.98601108,Sample-Routine,Water,Surface Water,1986-06-10,09:30:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Orthophosphate,Dissolved,0.03,mg/l as P,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,00671,NA,NA,NA,NA,NA,CL054,USGS,"Ortho-PO4, wf, ASF phosphomolybd","USGS OF 93-125, p 197",NA,NA,NA,NA,NA,NA,NA,NWIS,1986-06-10T16:30:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.00401193,Sample-Routine,Water,Surface Water,2004-04-23,13:20:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, normal stage",Routine sample,20.00,USGS parameter code 82398,Equal discharge increment (edi),"Sampler, US D-77",NA,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.19,mg/l as N,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00631,NA,NA,NA,NA,NA,CL048,USGS,"Nutrients, wf, Cd reduct, color","USGS OF 93-125, p 157",NA,2004-05-11,NA,Laboratory Reporting Level,0.06,mg/l as N,NA,NWIS,2004-04-23T20:20:00Z,NA
